subject,relation,object,tier,status,verdict,evidence_paper,evidence_match,support_chunks,support_papers,confidence,paper_ids
submarine landslides,occursIn,continental slope,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,fuzzy(0.74),43,13,1.0,"Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport;D. Leynaud;1-s2.0-S0025322712000412-main;Giacomo Dalla Valle;1-s2.0-S0025322713000571-main;3-s2.0-B9780128130810007047-main;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;J. S. Laberg;Moscardelli_and_Wood_2008;RichardsonetalBasinResearch2011-online (1)"
turbidite system,occursIn,continental margin,1,active,STRONG_SUPPORT,9781565762879_ch03,exact,25,7,1.0,"9781565762879_ch03;Bourget,j;Dos-Reis-et-al-2016-MPG;Giacomo Dalla Valle;Ian R. Clark, Joseph A. Cartwright;Two-scale_gravitational_collapse_in_the_Amazon_Fan;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and"
earthquake,triggers,slope failure,1,active,STRONG_SUPPORT,3-s2.0-B9780128130810007047-main,exact,65,6,1.0,"D. Leynaud;1-s2.0-S0025322712000412-main;3-s2.0-B9780128130810007047-main;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and"
earthquake,triggers,slope failures,1,active,STRONG_SUPPORT,3-s2.0-B9780128130810007047-main,exact,29,6,1.0,"D. Leynaud;1-s2.0-S0025322712000412-main;3-s2.0-B9780128130810007047-main;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and"
submarine landslides,triggers,failure,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,exact,95,16,1.0,"9781565762879_ch03;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Bull & Cartwright (2009);D. Leynaud;Dos-Reis-et-al-2016-MPG;1-s2.0-S0025322712000412-main;Giacomo Dalla Valle;1-s2.0-S0025322713000571-main;1-s2.0-S0264817216304585-main;3-s2.0-B9780128130810007047-main;Submarine_Mass_Movements_on_Continental;Two-scale_gravitational_collapse_in_the_Amazon_Fan;Wei Li a,⁎, Tiago M. Alves;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;Moscardelli_and_Wood_2008;RichardsonetalBasinResearch2011-online (1)"
debris-flow deposit,hasDescriptor,chaotic,1,active,STRONG_SUPPORT,Two-scale_gravitational_collapse_in_the_Amazon_Fan,fuzzy(0.76),3,3,0.8614,9781565762879_ch03;9781565762879_ch02;Two-scale_gravitational_collapse_in_the_Amazon_Fan
mass transport deposit,hasDescriptor,low-amplitude,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),fuzzy(0.64),3,3,0.8614,Alves_AAPG_MTDs_14;1-s2.0-S0025322713000571-main;RichardsonetalBasinResearch2011-online (1)
mass transport deposit,hasDescriptor,undeformed,1,active,STRONG_SUPPORT,Bull & Cartwright (2009),fuzzy(0.72),4,3,0.8614,1-s2.0-S0025322713000571-main;RichardsonetalBasinResearch2011-online (1);Bull & Cartwright (2009)
megaslide,hasDescriptor,parallel,1,active,STRONG_SUPPORT,Dos-Reis-et-al-2016-MPG,exact,6,3,0.8614,9781565762879_ch03;Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
mass transport deposit,hasDescriptor,continuous,1,active,WEAK_SUPPORT,1-s2.0-S0025322713000571-main,exact,17,5,0.7,"Alves_AAPG_MTDs_14;Bourget,j;1-s2.0-S0025322713000571-main;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1)"
gas hydrates destabilization,causes,mass movement initiation,1,active,STRONG_SUPPORT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,2,2,0.6826,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
higher sedimentation rates,causes,mass movement initiation,1,active,STRONG_SUPPORT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,2,2,0.6826,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
methane hydrate dissociation,causes,excess pore pressure,1,active,STRONG_SUPPORT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,4,2,0.6826,3-s2.0-B9780128130810007047-main;Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
rapid sediment accumulation,causes,failure,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,exact,7,2,0.6826,Dos-Reis-et-al-2016-MPG;Submarine_Mass_Movements_on_Continental
mass transport deposit,hasDescriptor,high-amplitude,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),fuzzy(0.92),2,2,0.6826,"Bourget,j;RichardsonetalBasinResearch2011-online (1)"
mass transport deposit,hasDescriptor,wedge-shaped,1,active,STRONG_SUPPORT,9781565762879_ch03,exact,1,2,0.6826,JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities;9781565762879_ch03
mass transport deposit,hasDescriptor,blocky,1,active,STRONG_SUPPORT,Alves_AAPG_MTDs_14,fuzzy(0.70),10,2,0.6826,Alves_AAPG_MTDs_14;RichardsonetalBasinResearch2011-online (1)
megaslide,hasDescriptor,chaotic,1,active,STRONG_SUPPORT,Dos-Reis-et-al-2016-MPG,exact,19,2,0.6826,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
megaslide,hasDescriptor,transparent,1,active,STRONG_SUPPORT,Dos-Reis-et-al-2016-MPG,exact,18,2,0.6826,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
megaslide,hasDescriptor,layered,1,active,STRONG_SUPPORT,Dos-Reis-et-al-2016-MPG,fuzzy(0.50),10,2,0.6826,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
remnant and rafted blocks,hasDescriptor,high-amplitude,1,active,STRONG_SUPPORT,"Ian R. Clark, Joseph A. Cartwright",fuzzy(0.74),3,2,0.6826,"Alves_AAPG_MTDs_14;Ian R. Clark, Joseph A. Cartwright"
unit a,hasDescriptor,discontinuous,1,active,STRONG_SUPPORT,,none,3,2,0.6826,1-s2.0-S0025322713000571-main;Two-scale_gravitational_collapse_in_the_Amazon_Fan
unit a,hasDescriptor,chaotic,1,active,STRONG_SUPPORT,Two-scale_gravitational_collapse_in_the_Amazon_Fan,fuzzy(0.76),3,2,0.6826,1-s2.0-S0025322713000571-main;Two-scale_gravitational_collapse_in_the_Amazon_Fan
turbidite,occursIn,canyon mouth,1,active,STRONG_SUPPORT,"Bourget,j",fuzzy(0.80),9,2,0.6826,"9781565762879_ch03;Bourget,j"
mass transport deposit,partOf,basal shear surface,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,32,2,0.6826,1-s2.0-S0025322713000571-main;RichardsonetalBasinResearch2011-online (1)
mass transport deposit,partOf,upper surface,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,18,2,0.6826,1-s2.0-S0025322713000571-main;RichardsonetalBasinResearch2011-online (1)
toe,partOf,mass transport deposit,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),fuzzy(0.75),12,2,0.6826,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport;RichardsonetalBasinResearch2011-online (1)
compressive domain,affects,thickness of mass transport deposits,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),fuzzy(0.74),0,1,0.4307,RichardsonetalBasinResearch2011-online (1)
compressive domain,affects,elevation of upper surfaces,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),fuzzy(0.73),0,1,0.4307,RichardsonetalBasinResearch2011-online (1)
strongly deformed allochthonous masses,affects,chaotic-to-transparent facies,1,active,STRONG_SUPPORT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,2,1,0.4307,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
wave action,affects,equilibrium conditions,1,active,STRONG_SUPPORT,9781565762879_ch02,exact,2,1,0.4307,9781565762879_ch02
combination of load increase and strength decrease,causes,sediment or rock failure,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,exact,0,1,0.4307,Submarine_Mass_Movements_on_Continental
compressive domain,causes,up to 500m in thickness,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),fuzzy(0.90),2,1,0.4307,RichardsonetalBasinResearch2011-online (1)
decrease in the strength of the sediment/rock,causes,sediment or rock failure,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,exact,0,1,0.4307,Submarine_Mass_Movements_on_Continental
effective stress decreases,causes,sediment approaches a state of liquefaction,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,fuzzy(0.80),1,1,0.4307,Submarine_Mass_Movements_on_Continental
environmental loads,causes,sediment or rock failure,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,exact,0,1,0.4307,Submarine_Mass_Movements_on_Continental
erosion of canyon heads,causes,mass movement initiation,1,active,STRONG_SUPPORT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,1,1,0.4307,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
excess pressure and formation stress concentration,causes,development of mtds in the stress concentrating area,1,active,STRONG_SUPPORT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
fluid_overpressure,causes,gravitational collapse,1,active,STRONG_SUPPORT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,fuzzy(0.88),0,1,0.4307,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
forced regression,causes,depo-centers shifting towards the outer shelf,1,active,STRONG_SUPPORT,9781565762879_ch02,fuzzy(0.82),0,1,0.4307,9781565762879_ch02
formation stress concentration,causes,developing mtds,1,active,STRONG_SUPPORT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
gas hydrate dissipation,causes,increase in excess pore water pressure,1,active,STRONG_SUPPORT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
gas hydrate dissipation,causes,increase of excess pore water pressure,1,active,STRONG_SUPPORT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
growth stratal wedge,causes,mass transport deposit,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,2,1,0.4307,RichardsonetalBasinResearch2011-online (1)
lack of support from removed sediment,causes,gravitational spreading,1,active,STRONG_SUPPORT,"Wei Li a,⁎, Tiago M. Alves",fuzzy(0.67),2,1,0.4307,"Wei Li a,⁎, Tiago M. Alves"
methane hydrate dissociation,causes,increase of volume and pressure buildup,1,active,STRONG_SUPPORT,3-s2.0-B9780128130810007047-main,exact,1,1,0.4307,3-s2.0-B9780128130810007047-main
methane hydrate dissociation,causes,reduction of shear strength of sediment,1,active,STRONG_SUPPORT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
methane hydrate dissociation,causes,formation of layer of weakness between sedimentary formations,1,active,STRONG_SUPPORT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
methane hydrate dissociation,causes,excess pressure and formation stress concentration,1,active,STRONG_SUPPORT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
methane hydrate dissociation,causes,pore pressure buildup,1,active,STRONG_SUPPORT,3-s2.0-B9780128130810007047-main,exact,1,1,0.4307,3-s2.0-B9780128130810007047-main
methane hydrate dissociation,causes,sediment vulnerability to damage,1,active,STRONG_SUPPORT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
methane hydrate dissociation,causes,formation stress concentration,1,active,STRONG_SUPPORT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
methane hydrate dissociation,causes,high excess pore pressure,1,active,STRONG_SUPPORT,3-s2.0-B9780128130810007047-main,exact,0,1,0.4307,3-s2.0-B9780128130810007047-main
migration of depocenters,causes,instabilities,1,active,STRONG_SUPPORT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,1,1,0.4307,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
pore-water pressures build up,causes,effective stress decreases,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,fuzzy(0.80),1,1,0.4307,Submarine_Mass_Movements_on_Continental
rapid rate of sedimentation,causes,fluid overpressure,1,active,STRONG_SUPPORT,1-s2.0-S0191814106000101-main,exact,0,1,0.4307,1-s2.0-S0191814106000101-main
rise of the hydrostatic pressure,causes,instabilities,1,active,STRONG_SUPPORT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,1,1,0.4307,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
sea-level lowstands,causes,shift of depocenters towards the outer shelf,1,active,STRONG_SUPPORT,9781565762879_ch02,fuzzy(0.82),0,1,0.4307,9781565762879_ch02
sea-level lowstands,causes,greatest rates of sedimentation at the outer shelf and upper slope,1,active,STRONG_SUPPORT,9781565762879_ch02,fuzzy(0.92),0,1,0.4307,9781565762879_ch02
sediment accumulation,causes,increased shear stress,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,exact,0,1,0.4307,Submarine_Mass_Movements_on_Continental
sediment approaches a state of liquefaction,causes,decrease in current velocity necessary to initiate sediment transport,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,fuzzy(0.89),0,1,0.4307,Submarine_Mass_Movements_on_Continental
sediment approaches a state of liquefaction,causes,current velocity necessary to initiate sediment transport decreases,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,fuzzy(0.89),1,1,0.4307,Submarine_Mass_Movements_on_Continental
temperature increase at the bhsz,causes,dissociation of gas hydrates,1,active,STRONG_SUPPORT,3-s2.0-B9780128130810007047-main,exact,1,1,0.4307,3-s2.0-B9780128130810007047-main
translational sliding,causes,gravitational spreading,1,active,STRONG_SUPPORT,"Wei Li a,⁎, Tiago M. Alves",fuzzy(0.67),4,1,0.4307,"Wei Li a,⁎, Tiago M. Alves"
wave action,causes,potential for mass-transport events,1,active,STRONG_SUPPORT,9781565762879_ch02,exact,2,1,0.4307,9781565762879_ch02
rough topography,controls,disintegration and transformation of the debris flows into a turbidity current,1,active,STRONG_SUPPORT,"Elverhoi, A., Breien",exact,2,1,0.4307,"Elverhoi, A., Breien"
channel levee,hasDescriptor,high-amplitude,1,active,STRONG_SUPPORT,"Ian R. Clark, Joseph A. Cartwright",fuzzy(0.57),0,1,0.4307,"Ian R. Clark, Joseph A. Cartwright"
channel levee,hasDescriptor,discontinuous,1,active,STRONG_SUPPORT,,none,2,1,0.4307,"Ian R. Clark, Joseph A. Cartwright"
channel levee complex,hasDescriptor,thin,1,active,STRONG_SUPPORT,"Ian R. Clark, Joseph A. Cartwright",exact,2,1,0.4307,"Ian R. Clark, Joseph A. Cartwright"
mass transport deposit,hasDescriptor,transparent,1,active,STRONG_SUPPORT,,none,4,1,0.4307,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
siliciclastic unit,hasDescriptor,parallel,1,active,STRONG_SUPPORT,Dos-Reis-et-al-2016-MPG,fuzzy(0.86),1,1,0.4307,Dos-Reis-et-al-2016-MPG
unit a,hasDescriptor,transparent,1,active,STRONG_SUPPORT,Two-scale_gravitational_collapse_in_the_Amazon_Fan,fuzzy(0.76),2,1,0.4307,Two-scale_gravitational_collapse_in_the_Amazon_Fan
mass transport deposit,occursIn,deepwater basinal setting,1,active,STRONG_SUPPORT,9781565762879_ch02,exact,0,1,0.4307,9781565762879_ch02
submarine landslides,occursIn,mediterranean continental margin,1,active,STRONG_SUPPORT,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,exact,3,1,0.4307,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
submarine landslides,occursIn,deltaic wedge,1,active,STRONG_SUPPORT,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,fuzzy(0.94),1,1,0.4307,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
submarine landslides,occursIn,mediterranean continental margins,1,active,STRONG_SUPPORT,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,exact,3,1,0.4307,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
submarine slide,occursIn,non-glaciated margin,1,active,STRONG_SUPPORT,,none,7,1,0.4307,D. Leynaud
blocky material,overlies,curved ramp,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,2,1,0.4307,RichardsonetalBasinResearch2011-online (1)
rugged upper surface,overlies,stable paleo-lakebed,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,0,1,0.4307,RichardsonetalBasinResearch2011-online (1)
decreased strength,triggers,failure,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,fuzzy(0.83),0,1,0.4307,Submarine_Mass_Movements_on_Continental
earthquake,triggers,initiation of the slides,1,active,STRONG_SUPPORT,3-s2.0-B9780128130810007047-main,exact,2,1,0.4307,3-s2.0-B9780128130810007047-main
earthquake loading,triggers,initiation of the slides,1,active,STRONG_SUPPORT,3-s2.0-B9780128130810007047-main,exact,2,1,0.4307,3-s2.0-B9780128130810007047-main
free gas,triggers,local overpressure,1,active,STRONG_SUPPORT,1-s2.0-S0264817216304585-main,fuzzy(0.62),1,1,0.4307,1-s2.0-S0264817216304585-main
increased driving stresses,triggers,failure,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,exact,0,1,0.4307,Submarine_Mass_Movements_on_Continental
rapid rate of sedimentation,triggers,build-up of overpressure,1,active,STRONG_SUPPORT,1-s2.0-S0191814106000101-main,exact,1,1,0.4307,1-s2.0-S0191814106000101-main
sea-level lowstands,triggers,forced regression,1,active,STRONG_SUPPORT,9781565762879_ch02,fuzzy(0.82),1,1,0.4307,9781565762879_ch02
storm waves,triggers,pore-water pressures build up,1,active,STRONG_SUPPORT,Submarine_Mass_Movements_on_Continental,fuzzy(0.80),2,1,0.4307,Submarine_Mass_Movements_on_Continental
excess pore pressure,causes,slope failure,2,active,WEAK_SUPPORT,D. Leynaud,exact,31,5,0.42,"D. Leynaud;3-s2.0-B9780128130810007047-main;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and"
excess pore pressure,causes,slope failures,2,active,WEAK_SUPPORT,D. Leynaud,exact,15,5,0.42,"D. Leynaud;3-s2.0-B9780128130810007047-main;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and"
mass transport deposit,hasDescriptor,discontinuous,2,active,WEAK_SUPPORT,,none,10,4,0.42,"Bourget,j;1-s2.0-S0025322713000571-main;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1)"
mass transport deposit,hasDescriptor,chaotic,2,active,WEAK_SUPPORT,Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution,fuzzy(0.67),15,6,0.42,"Alves_AAPG_MTDs_14;Bourget,j;1-s2.0-S0025322713000571-main;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1);Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution"
slide,hasDescriptor,undeformed,2,active,WEAK_SUPPORT,9781565762879_ch02,exact,28,11,0.42,"Bourget,j;Bull & Cartwright (2009);Dos-Reis-et-al-2016-MPG;1-s2.0-S0040195109002819-main;1-s2.0-S0264817216304585-main;845;9781565762879_ch02;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves;J. S. Laberg;Moscardelli_and_Wood_2008"
mass transport deposit,occursIn,continental slope,2,active,WEAK_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,19,9,0.42,9781565762879_ch03;Alves_AAPG_MTDs_14;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport;Giacomo Dalla Valle;9781565762879_ch02;J. S. Laberg;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1)
