node,type,role,n_triples,as_subject,as_object,n_neighbours,n_papers,n_tier1,n_tier2,relations_used,possible_variants,example_evidence,evidence_paper
migration of depocenters,Process,subject only,3,3,0,3,2,2,1,causes,,during transgression and sea-level highstands the rise of hydrostatic pressure and migration of depocentres would be the main causes of slope gravitational instabilities (Maslin & Mikkelsen 1997; Piper et al. 1997b; Masl,Two-scale_gravitational_collapse_in_the_Amazon_Fan
rise of hydrostatic pressure,Process,subject only,3,3,0,3,3,2,1,causes,,during transgression and sea-level highstands the rise of hydrostatic pressure and migration of depocentres would be the main causes of slope gravitational instabilities (Maslin & Mikkelsen 1997; Piper et al. 1997b; Masl,Two-scale_gravitational_collapse_in_the_Amazon_Fan
siliciclastic unit,Geological_Object,subject only,3,3,0,3,1,2,1,hasDescriptor,,"Its internal seismic character is dominated by transparent facies, with the presence of local parallel-layered facies interpreted as preserved internal blocks...",Dos-Reis-et-al-2016-MPG
slope destabilization,Process,object only,3,0,3,3,1,0,3,causes; triggers,,"the headwall scarp along the Shah Deniz Anticline lies along fault traces which were active before and potentially during, its emplacement implying a seismic trigger (e.g. Gee et al., 2005).",RichardsonetalBasinResearch2011-online (1)
undeformed,Descriptor,object only,3,0,3,3,14,0,3,hasDescriptor,,"Therefore, MTDs can comprise highly deformed sediments with no original depositional structures or, instead, a mix of moderate deformed to undeformed intervals with a great part of the original bedding still preserved in",Alves_AAPG_MTDs_14
blocky,Descriptor,object only,2,0,2,2,6,1,1,hasDescriptor,,"Coherence maps provide measurements of the continuity between Figure 4. (B) Poststack time migrated (PSTM) seismic profile from southeast Brazil (BES-100) depicting the deposition of a heterogeneous, blocky MTD, the seco",Alves_AAPG_MTDs_14
catastrophic mass-transport processes,Process,object only,2,0,2,2,1,1,1,causes,,Catastrophic mass-transport processes on the Amazon Fan are considered to be caused probably by enhanced sediment supply and gas-hydrate dissociation during rapid drops in sea level...,Two-scale_gravitational_collapse_in_the_Amazon_Fan
channel,Geological_Object,subject only,2,2,0,2,8,2,0,hasDescriptor,,"some channels having a high amplitude fill of discontinuous reflections and others having a low amplitude, transparent fill.",
channel levee complex,Geological_Object,subject only,2,2,0,2,1,0,2,hasDescriptor,,Unit PM2 displays internal thickness variations related to channel levee complexes where thinning of the channel levees occurs away from the channel axis.,"Ian R. Clark, Joseph A. Cartwright"
coarse-grained turbidites,Geological_Object,subject only,2,2,0,2,1,0,2,occursIn; overlies,,"In Zone A, vertical migration pathways below free gas (e.g. tectonic faults, gas chimneys and mud diapirs) are not observed and free gas is laterally connected to other continuous high-amplitude strata (Fig. 4b and e). T",1-s2.0-S0264817216304585-main
compressive domain,Geological_Object,subject only,2,2,0,2,1,0,2,causes; partOf,,The compressive domain is comparatively thick; the mass transport deposit upper surface is rugose and elevated with respect to the stable palaeo-lakebed.,RichardsonetalBasinResearch2011-online (1)
continental slope,Environmental_Control,object only,2,0,2,2,18,1,1,occursIn,,"Based on multibeam bathymetric data and GLORIA sidescan surveys, McAdoo et al. (2000) identified a total of 83 gravity flows, slides and slumps on the continental slopes of Oregon (Fig. 33a), central California (Fig. 33b",Submarine_Mass_Movements_on_Continental
critical length,Environmental_Control,object only,2,0,2,2,1,1,1,affects; controls,,"According to Fig. 5b, critical length of sliding sheet as a function of basal fluid pressure λb (fluid overpressure ratio on the detachment) for various seaﬂoor slopes (α) and various cohesions of the basal detachment (c",1-s2.0-S0040195109002819-main
debris-flow deposit,Geological_Object,subject only,2,2,0,2,3,1,1,hasDescriptor,,"Unit a is the upper unit, consisting of a continuous layer of rather chaotic to transparent seismic facies, which can be indicative of debris-flow deposits (Evans et al. 2005), with the presence of local parallel-layered",Two-scale_gravitational_collapse_in_the_Amazon_Fan
decrease in effective stress,Environmental_Control,both,2,1,1,2,1,2,0,causes,,"As the storm-wave-induced pore-water pressures build up, the effective stress decreases and the sediment approaches a state of liquefaction.",Submarine_Mass_Movements_on_Continental
erosion of canyon heads,Process,subject only,2,2,0,2,1,1,1,causes,,"Piper et al. (1997) and Maslin and Mikkelsen (1997) consider that during low seal-level stands, gas hydrates destabilization, higher sedimentation rates and erosion of canyon heads are the principal causes of mass moveme",Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
failure,Process,object only,2,0,2,2,3,2,0,triggers,,"Despite the stratigraphic architectural setting that controls the pre-conditioning factors, external perturbations such as sudden cyclic loading by earthquakes, are likely to be the main triggering factor for the failure",Giacomo Dalla Valle
flow becoming less cohesive,Environmental_Control,object only,2,0,2,2,1,2,0,causes,,"If the sand content is increased, as e.g. in the Grand Banks landslide, the flow becomes less cohesive.","Elverhoi, A., Breien"
folded,Descriptor,object only,2,0,2,2,2,1,1,hasDescriptor,,These features support the interpretation of this basal unit as slide sheets that have been variably folded and compressed so that they become generally thicker downslope.,Two-scale_gravitational_collapse_in_the_Amazon_Fan
formation stress gathering,Environmental_Control,both,2,1,1,2,1,2,0,causes,,"Gas hydrate dissolution can lead to excess pressure and cause formation stress gather, which results in developing MTDs in the stress concentrating area.",Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
gas hydrate dissolution,Process,subject only,2,2,0,2,1,1,1,causes,gas hydrate disassociation; gas-hydrate dissociation,"When gas hydrate dissolution occurs, it can release much water and free gas. The process of solid material transforming into liquid and gas hydrate reduces the shear strength of sediment, which makes the sediment more vu",Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
gas hydrates destabilization,Process,subject only,2,2,0,2,2,1,1,causes,,"Piper et al. (1997) and Maslin and Mikkelsen (1997) consider that during low seal-level stands, gas hydrates destabilization, higher sedimentation rates and erosion of canyon heads are the principal causes of mass moveme",Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
gravitational collapse,Process,subject only,2,2,0,2,1,2,0,causes,,"Along the northern lateral wall, arcuate scarps visible on variance extractions (Fig. 11a) coincide with a terrace-like geometry to the basal surface (Fig. 11c). These discontinuous erosion surfaces are overlain by debri",Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution
growth stratal wedge,Geological_Object,subject only,2,2,0,2,1,0,2,causes,,"The‘whole wedge’failures occur along growth stra- tal wedges, on fold £anks that steepen up-dip and extend further upslope than the stratal pinch outs (Fig. 5b). We therefore propose that the entire growth wedge was tran",RichardsonetalBasinResearch2011-online (1)
higher sedimentation rates,Process,subject only,2,2,0,2,2,1,1,causes,,"Piper et al. (1997) and Maslin and Mikkelsen (1997) consider that during low seal-level stands, gas hydrates destabilization, higher sedimentation rates and erosion of canyon heads are the principal causes of mass moveme",Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
instabilities,Process,object only,2,0,2,2,3,2,0,causes,instability,During relative sea-level rise and high stands the rise of the hydrostatic pressure and the migration of depocenters would generate instabilities.,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
mediterranean continental margin,Environmental_Control,object only,2,0,2,1,1,2,0,occursIn,,Submarine landslides are ubiquitous along Mediterranean continental margins.,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
methane hydrate dissociation,Process,subject only,2,2,0,2,1,1,1,affects; causes,,An answer as to whether or not the dissociation/dissolution of massive methane hydrates contributed to slumping and rapid increases of atmospheric greenhouse gases would give us an important perspective on how likely it ,3-s2.0-B9780128130810007047-main
overpressure,Process,subject only,2,2,0,2,1,2,0,affects; causes,,"Considering that the two MTDs are more consolidated than undeformed slope strata, overpressure will build underneath them. The free gas and consequent overpressure will greatly affect bore- hole stability during drilling",1-s2.0-S0264817216304585-main
parallel,Descriptor,object only,2,0,2,2,6,0,2,hasDescriptor,,"These continuous strong plan-parallel reﬂectors: as thick as 300 ms as in the case of that between AM2 and AM3; or as thick as 700 ms, as in the case of that between AM1 and AM2. These continuous strong plan-parallel uni",Dos-Reis-et-al-2016-MPG
passive margin,Environmental_Control,object only,2,0,2,2,3,0,2,occursIn,,"Relatively dense sediment of active margins does not mobilize as well into debris flows, compared to less consolidated sediment of passive margins (Lee et al., 1992).""
""Similarly, the relatively long run-out distance of ",9781565762879_ch03
pushing the slope toward failure,Process,object only,2,0,2,2,1,1,1,affects,,"All three of the following processes push the slope toward failure: retarded strength development, increased development of shear stress because of thickness of the s",Submarine_Mass_Movements_on_Continental
rapid sediment accumulation,Process,subject only,2,2,0,2,3,1,1,causes; triggers,rapid sedimentation,"A well known example is the rapid sediment loading, e.g. [1 mm year-1 in the Gulf of Mexico (Expedition 308 Scientists 2005), that favours overpressure development in the sediment column as fast burial by fine sediment f","S. Lafuerza, N. Sultan"
slope gravitational instabilities,Process,object only,2,0,2,2,1,2,0,causes,,during transgression and sea-level highstands the rise of hydrostatic pressure and migration of depocentres would be the main causes of slope gravitational instabilities (Maslin & Mikkelsen 1997; Piper et al. 1997b; Masl,Two-scale_gravitational_collapse_in_the_Amazon_Fan
stratified,Descriptor,object only,2,0,2,2,2,0,2,hasDescriptor,,"AM2 to AM6 headscarps cut into well stratiﬁed lower slope siliciclastic layers related to the lateral depositional ﬂank of the Amazon fan, whose gravitational failure constitutes the source area for the related submarine",Dos-Reis-et-al-2016-MPG
unstable condition,Environmental_Control,both,2,1,1,2,1,0,2,causes,,"The area where no scarp exists was inherently unstable before r 2011The Authors Basin Research r 2011 Blackwell Publishing Ltd, European Association of Geoscientists & Engineers and International Association of Sedimento",RichardsonetalBasinResearch2011-online (1)
water intrusion and fluidisation,Process,subject only,2,2,0,1,1,2,0,causes; triggers,,"The process of particle segregation is a response to water intrusion and fluidisation and implies that the flow sprinkles sand on the seabed as it moves along, continuously loosing mass on its way and leaving behind a ca","Elverhoi, A., Breien"
50–60 ka failure event,Process,subject only,1,1,0,1,1,0,1,causes,,"The distal deposits of the Sahara Slide are 50–60 ka old (Gee et al., 1999; Georgiopoulou et al., 2010), i.e. they are much older than the age estimated in this study for the upper headwall. A plausible explanation for t","Wei Li a,⁎, Tiago M. Alves"
amapá megaslide complex,Geological_Object,subject only,1,1,0,1,1,0,1,hasDescriptor,,"AM2 to AM6 headscarps cut into well stratiﬁed lower slope siliciclastic layers related to the lateral depositional ﬂank of the Amazon fan, whose gravitational failure constitutes the source area for the related submarine",Dos-Reis-et-al-2016-MPG
amazon fan,Environmental_Control,object only,1,0,1,1,5,0,1,occursIn,,"The northern Gulf of Mexico, like the Amazon Fan, is another basic type of continental margin that has equally intermixed amounts of MTD and turbidite systems, where MTDs range from scales of hundreds of kilometers down ",9781565762879_ch03
area where no scarp exists,Environmental_Control,object only,1,0,1,1,1,0,1,controls,,"The area where no scarp exists was inherently unstable before r 2011The Authors Basin Research r 2011 Blackwell Publishing Ltd, European Association of Geoscientists & Engineers and International Association of Sedimento",RichardsonetalBasinResearch2011-online (1)
basal erosion surface,Geological_Object,object only,1,0,1,1,1,1,0,causes,,"Along the northern lateral wall, arcuate scarps visible on variance extractions (Fig. 11a) coincide with a terrace-like geometry to the basal surface (Fig. 11c). These discontinuous erosion surfaces are overlain by debri",Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution
basin floor,Environmental_Control,object only,1,0,1,1,2,0,1,occursIn,,"Erosion and breaching of local grabens at the shelf edge of the southern Bering Sea produce giant, gullied canyons and MTD sheets that dominate the basin-floor deposition and disrupt development of turbidites.",9781565762879_ch03
bipartite flow,Process,object only,1,0,1,1,1,1,0,causes,formation of bipartite flow,"If the sand content is increased, as e.g. in the Grand Banks landslide, the flow becomes less cohesive. This leads to internal particle segregation and a bipartite flow with the finer clay and silt forming an upper low-d","Elverhoi, A., Breien"
blocky material,Geological_Object,subject only,1,1,0,1,1,0,1,overlies,,"High ampli- tude, blocky material near the base of the deposit (de- scribed in the section above) remains semi-continuous above the curved ramp, forming a lobe of blocky material that drapes and follows the topography of",RichardsonetalBasinResearch2011-online (1)
bore-hole instability,Process,object only,1,0,1,1,1,1,0,causes,,"Considering that the two MTDs are more consolidated than undeformed slope strata, overpressure will build underneath them. The free gas and consequent overpressure will greatly affect bore- hole stability during drilling",1-s2.0-S0264817216304585-main
bore-hole stability,Environmental_Control,object only,1,0,1,1,1,1,0,affects,,"Considering that the two MTDs are more consolidated than undeformed slope strata, overpressure will build underneath them. The free gas and consequent overpressure will greatly affect bore- hole stability during drilling",1-s2.0-S0264817216304585-main
canyon erosion,Process,subject only,1,1,0,1,1,0,1,triggers,,"while evidence for slope destabilisation by (lowstand) canyon erosion (e.g. McHugh et al., 2002) also exists on adjacent, contemporaneous slopes,",RichardsonetalBasinResearch2011-online (1)
cohesion of the basal detachment,Environmental_Control,subject only,1,1,0,1,1,0,1,controls,,"According to Fig. 5c, the dip of the basal detachment seems to Fig. 5. (a) Conﬁguration of the analytical model (see also Appendix A). (b, c) Results of analytical model. (b) Critical length of sliding sheet as a functio",1-s2.0-S0040195109002819-main
continental margin,Environmental_Control,object only,1,0,1,1,20,1,0,occursIn,,Submarine landslides are ubiquitous along Mediterranean continental margins.,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
deep-water basinal settings,Environmental_Control,object only,1,0,1,1,1,1,0,occursIn,,of mass-transport deposits in deepwater basinal settings.,9781565762879_ch02
degradation in shear strength,Environmental_Control,object only,1,0,1,1,1,1,0,causes,,"As the storm-wave-induced pore-water pressures build up, the effective stress decreases and the sediment approaches a state of liquefaction.",Submarine_Mass_Movements_on_Continental
deltaic wedge,Environmental_Control,object only,1,0,1,1,1,0,1,occursIn,,The distribution of submarine landslides in the Mediterranean reveals that major deltaic wedges have a higher density of large submarine landslides.,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
developing mtds,Process,object only,1,0,1,1,1,1,0,causes,,"Gas hydrate dissolution can lead to excess pressure and cause formation stress gather, which results in developing MTDs in the stress concentrating area.",Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
development of excess pore-water pressures,Environmental_Control,object only,1,0,1,1,1,1,0,causes,excess pore-water pressures,"As the storm-wave-induced pore-water pressures build up, the effective stress decreases and the sediment approaches a state of liquefaction.",Submarine_Mass_Movements_on_Continental
discontinuous erosion surfaces,Geological_Object,object only,1,0,1,1,1,1,0,causes,,"These discontinuous erosion surfaces are overlain by debrites and are, therefore, interpreted to have been formed by gravitational collapse of the northern lateral wall, a process that probably contributed to the southwa",Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution
disequilibrium conditions,Environmental_Control,subject only,1,1,0,1,1,0,1,causes,,"During relative lowstands of sea level, marginal marine depocenters shift towards the outer shelf in association with the process of forced regression (Posamentier et al., 1992). Rates of sedimentation at the outer shelf",9781565762879_ch02
disrupted,Descriptor,object only,1,0,1,1,1,0,1,hasDescriptor,,"AM3, the smallest megaslide in area (Table 1 and Fig. 9B), is dominated by chaotic facies and is substantially thicker close to its upslope limit, where traces of previous stratiﬁcation were preserved (Fig. 10B).""
""Both ",Dos-Reis-et-al-2016-MPG
earthquake,Process,subject only,1,1,0,1,6,1,0,triggers,,It is speculated that earthquake loading is the final trigger for the initiation of the slides at the end of each glaciation.,3-s2.0-B9780128130810007047-main
ebro margin,Environmental_Control,object only,1,0,1,1,1,1,0,occursIn,,"Another type of continental margin, the Ebro margin, has some segments of the margin dominated by MTDs and other segments dominated by channelized turbidite systems (Fig. 8).",9781565762879_ch03
enhanced sediment supply,Process,subject only,1,1,0,1,1,1,0,causes,,Catastrophic mass-transport processes on the Amazon Fan are considered to be caused probably by enhanced sediment supply and gas-hydrate dissociation during rapid drops in sea level...,Two-scale_gravitational_collapse_in_the_Amazon_Fan
equilibrium conditions,Environmental_Control,object only,1,0,1,1,1,1,0,affects,,"Wave action has the affect of altering equilibrium conditions in those settings, resulting in potential for mass-transport events to occur.",9781565762879_ch02
erosion grooves,Geological_Object,subject only,1,1,0,1,1,0,1,affects,,"erosion grooves are common in the Qiongdongnan ... which are defined as continuous, linear features developed with the basal shear surface of MTDs...",Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
erosional scour,Geological_Object,object only,1,0,1,1,0,0,1,causes,,"Slope failures with increasing erosive power incised lateral ramps into the basal shear surface which truncated and remobilised older mass transport deposits (Bull et al., 2009).",
erosive capability of the flow,Environmental_Control,object only,1,0,1,1,1,1,0,affects,,"The process of particle segregation is a response to water intrusion and fluidisation and implies that the flow sprinkles sand on the seabed as it moves along, continuously loosing mass on its way and leaving behind a ca","Elverhoi, A., Breien"
espírito santo basin,Environmental_Control,object only,1,0,1,1,1,0,1,occursIn,,"In Zone A, vertical migration pathways below free gas (e.g. tectonic faults, gas chimneys and mud diapirs) are not observed and free gas is laterally connected to other continuous high-amplitude strata (Fig. 4b and e). T",1-s2.0-S0264817216304585-main
excess pore pressure,Process,subject only,1,1,0,1,5,0,1,causes,excess pore-water pressures; excess pressure; high excess pore pressure,"On glaciated margins, a combination of preconditions to failure exists during the Holocene such as excess pore pressure generation (from rapid deposition) with slow dissipation or gas hydrate dissociation. The final trig",D. Leynaud
excess pore-water pressures,Environmental_Control,subject only,1,1,0,1,1,1,0,causes,development of excess pore-water pressures; excess pore pressure,"As the storm-wave-induced pore-water pressures build up, the effective stress decreases and the sediment approaches a state of liquefaction.",Submarine_Mass_Movements_on_Continental
extensional domain,Geological_Object,subject only,1,1,0,1,3,0,1,partOf,,"upper and western margins consist of a sinuous headwall scarp consisting of multiple lobes, and a straight, lateral scarp (Fig. 2b). MTC-1 contains three structural domains (Fig. 2a). Its extensional domain reaches from ",RichardsonetalBasinResearch2011-online (1)
external perturbations,Process,subject only,1,1,0,1,1,1,0,triggers,,"Despite the stratigraphic architectural setting that controls the pre-conditioning factors, external perturbations such as sudden cyclic loading by earthquakes, are likely to be the main triggering factor for the failure",Giacomo Dalla Valle
faulted,Descriptor,object only,1,0,1,1,3,1,0,hasDescriptor,,"In all cases, slide and faulted blocks are replaced 2–5 km downslope by mass-transport deposits exhibiting a set of acoustic features that can be grouped into two main types of seismic facies (considering the seismic res",Two-scale_gravitational_collapse_in_the_Amazon_Fan
flow,Process,subject only,1,1,0,1,1,1,0,affects,,"The process of particle segregation is a response to water intrusion and fluidisation and implies that the flow sprinkles sand on the seabed as it moves along, continuously loosing mass on its way and leaving behind a ca","Elverhoi, A., Breien"
fold,Geological_Object,subject only,1,1,0,1,6,0,1,hasDescriptor,,"Chaotic, discontinuous and weak amplitude reﬂection characterizes large-scale thrusts and fold systems.",Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
formation of bipartite flow,Process,object only,1,0,1,1,1,1,0,affects,bipartite flow,"If the sand content is increased, as e.g. in the Grand Banks landslide, the flow becomes less cohesive. This leads to internal particle segregation and a bipartite flow with the finer clay and silt forming an upper low-d","Elverhoi, A., Breien"
formation of layer of weakness,Geological_Object,object only,1,0,1,1,1,0,1,causes,,"When gas hydrate dissolution occurs, it can release much water and free gas. The process of solid material transforming into liquid and gas hydrate reduces the shear strength of sediment, which makes the sediment more vu",Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
formation of upper low-density layer,Geological_Object,object only,1,0,1,1,1,1,0,affects,,"If the sand content is increased, as e.g. in the Grand Banks landslide, the flow becomes less cohesive. This leads to internal particle segregation and a bipartite flow with the finer clay and silt forming an upper low-d","Elverhoi, A., Breien"
free gas,Geological_Object,subject only,1,1,0,1,2,0,1,affects,,"Considering that the two MTDs are more consolidated than undeformed slope strata, overpressure will build underneath them. The free gas and consequent overpressure will greatly affect bore-hole stability during drilling ",1-s2.0-S0264817216304585-main
gas hydrate disassociation,Process,subject only,1,1,0,1,1,0,1,causes,gas hydrate dissolution; gas-hydrate dissociation,"previous work suggests the same complex was trig- gered by gas hydrate disassociation (Diaconescu et al., 2001; Diaconescu, 2002).",RichardsonetalBasinResearch2011-online (1)
gas-hydrate dissociation,Process,subject only,1,1,0,1,1,0,1,causes,gas hydrate disassociation; gas hydrate dissolution,Catastrophic mass-transport processes on the Amazon Fan are considered to be caused probably by enhanced sediment supply and gas-hydrate dissociation during rapid drops in sea level...,Two-scale_gravitational_collapse_in_the_Amazon_Fan
gravitational spreading,Process,object only,1,0,1,1,1,1,0,triggers,,We interpret gravitational spreading over GP I as a direct consequence of translational sliding further downslope due to the lack of support from removed sediment.,"Wei Li a,⁎, Tiago M. Alves"
hemipelagite,Geological_Object,subject only,1,1,0,1,3,0,1,hasDescriptor,,These continuous strong plan-parallel units were seismically interpreted as a combination of turbiditic and hemipelagic deposition (Figs. 8 and 9B).,Dos-Reis-et-al-2016-MPG
higher shear stresses,Environmental_Control,subject only,1,1,0,1,1,0,1,causes,,"The area where no scarp exists was inherently unstable before r 2011The Authors Basin Research r 2011 Blackwell Publishing Ltd, European Association of Geoscientists & Engineers and International Association of Sedimento",RichardsonetalBasinResearch2011-online (1)
incision of lateral ramps,Geological_Object,object only,1,0,1,1,0,1,0,triggers,,"Slope failures with increasing erosive power incised lateral ramps into the basal shear surface which truncated and remobilised older mass transport deposits (Bull et al., 2009).",
increased development of shear stress,Process,subject only,1,1,0,1,1,1,0,affects,,"All three of the following processes push the slope toward failure: retarded strength development, increased development of shear stress because of thickness of the s",Submarine_Mass_Movements_on_Continental
increased sand content,Environmental_Control,subject only,1,1,0,1,1,1,0,causes,,"If the sand content is increased, as e.g. in the Grand Banks landslide, the flow becomes less cohesive.","Elverhoi, A., Breien"
