subject,relation,object,tier,status,verdict,evidence_paper,evidence_match,support_chunks,support_papers,confidence,paper_ids
overpressure,affects,bore-hole stability,1,active,ACCEPT,1-s2.0-S0264817216304585-main,exact,0,1,0.4307,1-s2.0-S0264817216304585-main
particle segregation,affects,formation of upper low-density layer,1,active,ACCEPT,"Elverhoi, A., Breien",exact,0,1,0.4307,"Elverhoi, A., Breien"
particle segregation,affects,formation of bipartite flow,1,active,ACCEPT,"Elverhoi, A., Breien",exact,0,1,0.4307,"Elverhoi, A., Breien"
sea floor slope,affects,critical length,1,active,ACCEPT,1-s2.0-S0040195109002819-main,fuzzy(0.62),0,1,0.4307,1-s2.0-S0040195109002819-main
wave action,affects,equilibrium conditions,1,active,ACCEPT,9781565762879_ch02,exact,2,1,0.4307,9781565762879_ch02
decrease in effective stress,causes,sediment approaching liquefaction,1,active,ACCEPT,Submarine_Mass_Movements_on_Continental,fuzzy(0.80),0,1,0.4307,Submarine_Mass_Movements_on_Continental
enhanced sediment supply,causes,catastrophic mass-transport processes,1,active,ACCEPT,Two-scale_gravitational_collapse_in_the_Amazon_Fan,exact,1,1,0.4307,Two-scale_gravitational_collapse_in_the_Amazon_Fan
erosion of canyon heads,causes,mass movement initiation,1,active,ACCEPT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,1,1,0.4307,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
excess pore-water pressures,causes,degradation in shear strength,1,active,ACCEPT,Submarine_Mass_Movements_on_Continental,fuzzy(0.80),2,1,0.4307,Submarine_Mass_Movements_on_Continental
excess pressure,causes,formation stress gathering,1,active,ACCEPT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
formation stress gathering,causes,developing mtds,1,active,ACCEPT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,0,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
gas hydrate dissolution,causes,excess pressure,1,active,ACCEPT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,1,1,0.4307,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
gravitational collapse,causes,discontinuous erosion surfaces,1,active,ACCEPT,Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution,fuzzy(0.87),2,1,0.4307,Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution
gravitational collapse,causes,basal erosion surface,1,active,ACCEPT,Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution,exact,1,1,0.4307,Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution
increased sand content,causes,flow becoming less cohesive,1,active,ACCEPT,"Elverhoi, A., Breien",exact,0,1,0.4307,"Elverhoi, A., Breien"
methane hydrate dissociation,causes,high excess pore pressure,1,active,ACCEPT,3-s2.0-B9780128130810007047-main,exact,0,1,0.4307,3-s2.0-B9780128130810007047-main
migration of depocenters,causes,instabilities,1,active,ACCEPT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,1,1,0.4307,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
migration of depocenters,causes,slope gravitational instabilities,1,active,ACCEPT,Two-scale_gravitational_collapse_in_the_Amazon_Fan,exact,0,1,0.4307,Two-scale_gravitational_collapse_in_the_Amazon_Fan
overpressure,causes,bore-hole instability,1,active,ACCEPT,1-s2.0-S0264817216304585-main,exact,0,1,0.4307,1-s2.0-S0264817216304585-main
particle segregation,causes,bipartite flow,1,active,ACCEPT,"Elverhoi, A., Breien",exact,3,1,0.4307,"Elverhoi, A., Breien"
rise of hydrostatic pressure,causes,slope gravitational instabilities,1,active,ACCEPT,Two-scale_gravitational_collapse_in_the_Amazon_Fan,exact,1,1,0.4307,Two-scale_gravitational_collapse_in_the_Amazon_Fan
sand content increase,causes,flow becoming less cohesive,1,active,ACCEPT,"Elverhoi, A., Breien",exact,0,1,0.4307,"Elverhoi, A., Breien"
water intrusion and fluidisation,causes,particle segregation,1,active,ACCEPT,"Elverhoi, A., Breien",exact,1,1,0.4307,"Elverhoi, A., Breien"
wave loading,causes,development of excess pore-water pressures,1,active,ACCEPT,Submarine_Mass_Movements_on_Continental,fuzzy(0.80),0,1,0.4307,Submarine_Mass_Movements_on_Continental
wave-loading effects,causes,decrease in effective stress,1,active,ACCEPT,Submarine_Mass_Movements_on_Continental,fuzzy(0.80),0,1,0.4307,Submarine_Mass_Movements_on_Continental
siliciclastic unit,hasDescriptor,tabular,1,active,ACCEPT,Dos-Reis-et-al-2016-MPG,exact,1,1,0.4307,Dos-Reis-et-al-2016-MPG
siliciclastic unit,hasDescriptor,transparent,1,active,ACCEPT,Dos-Reis-et-al-2016-MPG,exact,1,1,0.4307,Dos-Reis-et-al-2016-MPG
slide sheet,hasDescriptor,folded,1,active,ACCEPT,Two-scale_gravitational_collapse_in_the_Amazon_Fan,exact,1,1,0.4307,Two-scale_gravitational_collapse_in_the_Amazon_Fan
mass transport deposit,occursIn,deep-water basinal settings,1,active,ACCEPT,9781565762879_ch02,exact,0,1,0.4307,9781565762879_ch02
mass transport deposit,occursIn,ebro margin,1,active,ACCEPT,9781565762879_ch03,fuzzy(0.83),0,1,0.4307,9781565762879_ch03
submarine landslide,occursIn,mediterranean continental margin,1,active,ACCEPT,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,exact,3,1,0.4307,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
submarine landslide,occursIn,mediterranean continental margin,1,active,ACCEPT,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,exact,3,1,0.4307,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
rugged upper surface,overlies,stable paleo-lakebed,1,active,ACCEPT,RichardsonetalBasinResearch2011-online (1),exact,0,1,0.4307,RichardsonetalBasinResearch2011-online (1)
external perturbations,triggers,failure,1,active,ACCEPT,Giacomo Dalla Valle,exact,1,1,0.4307,Giacomo Dalla Valle
seismic activity,triggers,"liquefaction of coarse-grained, cohesionless soils",1,active,ACCEPT,D. Leynaud,exact,1,1,0.4307,D. Leynaud
translational sliding,triggers,gravitational spreading,1,active,ACCEPT,"Wei Li a,⁎, Tiago M. Alves",fuzzy(0.67),4,1,0.4307,"Wei Li a,⁎, Tiago M. Alves"
water intrusion and fluidisation,triggers,particle segregation,1,active,ACCEPT,"Elverhoi, A., Breien",exact,1,1,0.4307,"Elverhoi, A., Breien"
erosion,affects,seaﬂoor,2,active,UNCERTAIN,1-s2.0-S0025322713000571-main,exact,37,10,0.42,"1-s2.0-S0025322712000412-main;1-s2.0-S0025322713000571-main;1-s2.0-S0264817216304585-main;Bull & Cartwright (2009);Dos-Reis-et-al-2016-MPG;Giacomo Dalla Valle;Ian R. Clark, Joseph A. Cartwright;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves"
fold,hasDescriptor,discontinuous,2,active,UNCERTAIN,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,9,6,0.42,"845;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Bull & Cartwright (2009);Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport;Ian R. Clark, Joseph A. Cartwright;Two-scale_gravitational_collapse_in_the_Amazon_Fan"
mass transport deposit,hasDescriptor,continuous,2,active,UNCERTAIN,Moscardelli_and_Wood_2008,fuzzy(0.75),17,6,0.42,"1-s2.0-S0025322713000571-main;Alves_AAPG_MTDs_14;Bourget,j;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1);Moscardelli_and_Wood_2008"
slide,hasDescriptor,transparent,2,active,UNCERTAIN,Submarine_Mass_Movements_on_Continental,exact,34,12,0.42,"386816a0;9781565762879_ch02;9781565762879_ch03;D. Leynaud;Dos-Reis-et-al-2016-MPG;Elverhoi, A., Breien;J. S. Laberg;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;Moscardelli_and_Wood_2008;Submarine_Mass_Movements_on_Continental;Two-scale_gravitational_collapse_in_the_Amazon_Fan"
turbidite,hasDescriptor,parallel,2,active,UNCERTAIN,Dos-Reis-et-al-2016-MPG,fuzzy(0.96),23,6,0.42,"1-s2.0-S0264817216304585-main;9781565762879_ch03;Bourget,j;J. S. Laberg;Submarine_Mass_Movements_on_Continental;Dos-Reis-et-al-2016-MPG"
erosion,affects,basal shear surface,2,active,UNCERTAIN,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,fuzzy(0.83),28,6,0.42,1-s2.0-S0025322713000571-main;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Bull & Cartwright (2009);Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport;Giacomo Dalla Valle;RichardsonetalBasinResearch2011-online (1)
slide,hasDescriptor,undeformed,2,active,UNCERTAIN,9781565762879_ch02,exact,28,11,0.42,"1-s2.0-S0040195109002819-main;1-s2.0-S0264817216304585-main;845;9781565762879_ch02;Bourget,j;Bull & Cartwright (2009);Dos-Reis-et-al-2016-MPG;J. S. Laberg;Moscardelli_and_Wood_2008;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves"
mass transport deposit,occursIn,continental slope,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,19,9,0.42,9781565762879_ch02;9781565762879_ch03;Alves_AAPG_MTDs_14;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport;Giacomo Dalla Valle;J. S. Laberg;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1)
submarine landslide,occursIn,tectonically active margin,2,active,UNCERTAIN,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,exact,9,4,0.42,"D. Leynaud;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;RichardsonetalBasinResearch2011-online (1);Wei Li a,⁎, Tiago M. Alves"
turbidite,occursIn,upper slope,2,active,UNCERTAIN,,none,24,5,0.42,"9781565762879_ch02;9781565762879_ch03;Bourget,j;D. Leynaud;Giacomo Dalla Valle"
turbidite system,occursIn,amazon fan,2,active,UNCERTAIN,9781565762879_ch03,exact,8,5,0.42,"9781565762879_ch02;9781565762879_ch03;Bourget,j;Dos-Reis-et-al-2016-MPG;Two-scale_gravitational_collapse_in_the_Amazon_Fan"
subaqueous slope failure,causes,mass transport deposit,2,active,ACCEPT,RichardsonetalBasinResearch2011-online (1),exact,3,2,0.4096,1-s2.0-S0025322712000412-main;RichardsonetalBasinResearch2011-online (1)
turbidite,occursIn,basin floor,2,active,ACCEPT,9781565762879_ch03,exact,23,2,0.4096,9781565762879_ch02;9781565762879_ch03
fluid overpressure,triggers,slope instability,2,active,ACCEPT,1-s2.0-S0040195109002819-main,exact,1,2,0.4096,1-s2.0-S0191814106000101-main;1-s2.0-S0040195109002819-main
extensional domain,partOf,mass transport deposit,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,17,3,0.3618,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1)
hemipelagite,hasDescriptor,continuous,2,active,UNCERTAIN,Dos-Reis-et-al-2016-MPG,exact,6,3,0.3618,Alves_AAPG_MTDs_14;Bull & Cartwright (2009);Dos-Reis-et-al-2016-MPG
mass transport deposit,hasDescriptor,undeformed,2,active,UNCERTAIN,Alves_AAPG_MTDs_14,fuzzy(0.90),4,3,0.3618,1-s2.0-S0025322713000571-main;RichardsonetalBasinResearch2011-online (1);Alves_AAPG_MTDs_14
free gas,affects,slope stability,2,active,UNCERTAIN,1-s2.0-S0264817216304585-main,exact,1,2,0.2867,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;1-s2.0-S0264817216304585-main
mass transport deposit,hasDescriptor,folded,2,active,UNCERTAIN,Two-scale_gravitational_collapse_in_the_Amazon_Fan,exact,2,2,0.2867,RichardsonetalBasinResearch2011-online (1);Two-scale_gravitational_collapse_in_the_Amazon_Fan
megaslide,hasDescriptor,transparent,2,active,UNCERTAIN,Dos-Reis-et-al-2016-MPG,exact,18,2,0.2867,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
mass transport deposit,partOf,upper surface,2,active,UNCERTAIN,RichardsonetalBasinResearch2011-online (1),exact,18,2,0.2867,1-s2.0-S0025322713000571-main;RichardsonetalBasinResearch2011-online (1)
gas hydrates destabilization,causes,mass transport deposit,2,active,UNCERTAIN,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,2,2,0.2867,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
higher sedimentation rates,causes,mass transport deposit,2,active,UNCERTAIN,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,5,2,0.2867,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
rise of hydrostatic pressure,causes,mass transport deposit,2,active,UNCERTAIN,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,1,2,0.2867,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
debris flow,hasDescriptor,hummocky,2,active,UNCERTAIN,9781565762879_ch02,exact,2,2,0.2867,9781565762879_ch02;9781565762879_ch03
mass transport deposit,hasDescriptor,layered,2,active,UNCERTAIN,Dos-Reis-et-al-2016-MPG,exact,2,2,0.2867,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;Dos-Reis-et-al-2016-MPG
megaslide,hasDescriptor,continuous,2,active,UNCERTAIN,Dos-Reis-et-al-2016-MPG,exact,15,2,0.2867,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
preserved block,hasDescriptor,layered,2,active,UNCERTAIN,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,fuzzy(0.84),2,2,0.2867,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
remnant block,hasDescriptor,undeformed,2,active,UNCERTAIN,Bull & Cartwright (2009),exact,3,2,0.2867,Alves_AAPG_MTDs_14;Bull & Cartwright (2009)
submarine landslide,occursIn,passive margin,2,active,UNCERTAIN,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,fuzzy(0.67),15,2,0.2867,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;Submarine_Mass_Movements_on_Continental
erosion grooves,affects,basal shear surface,2,active,ACCEPT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,fuzzy(0.53),2,1,0.2584,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport
50–60 ka failure event,causes,lower headwall formation,2,active,ACCEPT,"Wei Li a,⁎, Tiago M. Alves",exact,0,1,0.2584,"Wei Li a,⁎, Tiago M. Alves"
disequilibrium conditions,causes,potential for mass-transport events,2,active,ACCEPT,9781565762879_ch02,fuzzy(0.92),1,1,0.2584,9781565762879_ch02
excess pressure,causes,slope failure,2,active,ACCEPT,D. Leynaud,exact,0,1,0.2584,D. Leynaud
mass transport deposit,hasDescriptor,variable-amplitude,2,active,ACCEPT,Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution,fuzzy(0.67),0,1,0.2584,Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution
turbidite,hasDescriptor,layered,2,active,ACCEPT,"Bourget,j",fuzzy(0.70),0,1,0.2584,"Bourget,j"
coarse-grained turbidites,occursIn,espírito santo basin,2,active,ACCEPT,1-s2.0-S0264817216304585-main,exact,0,1,0.2584,1-s2.0-S0264817216304585-main
blocky material,overlies,basal shear surface,2,active,ACCEPT,RichardsonetalBasinResearch2011-online (1),exact,2,1,0.2584,RichardsonetalBasinResearch2011-online (1)
canyon erosion,triggers,slope destabilization,2,active,ACCEPT,RichardsonetalBasinResearch2011-online (1),fuzzy(0.69),0,1,0.2584,RichardsonetalBasinResearch2011-online (1)
