source,target,relation,verdict,query,reasoning,passage_used
subsidence/uplift,volume,impacts,WEAK_SUPPORT,subsidence/uplift volume,"The text implies a relationship between subsidence/uplift (implied by the propagation of the fold-and-thrust belt leading to changes in the area's geology) and the volume of MTCs (mudstone turbidite channels), suggesting that as the area uplifted, the volume of these MTCs increased.","Therefore, several external forcing mechanisms can be invoked for the emplacement of the shelf-attached MTCs (Ortiz-Karpf et al., 2015). However, the UA bends to the east towards the area of the shelf where the arcuate scarps, interpreted as a possible source for the shelf-attached MTCs, are located (Fig. 12b). It is, therefore, likely that uplift associated with the propagation of the thrust that"
topography confinement downwards,terminal dispersion,impacts,NOT_SUPPORTED,topography confinement downwards terminal dispersion,"The source text discusses the bottom topography, hydrostatic imbalance, and fluid dynamics but does not mention either ""topography confinement downwards"" or ""terminal dispersion.""","of slowly varying bottom topography, and of weak hydrostatic imbalance on the vertically averaged horizontal velocity of an incom- pressible fluid, with a free surface, that moves under the force of gravity with friction dissipation [e.g., Gray et al., 1999; Pouliquen and Forterre, 2002; Mangeney-Castelnau et al., 2003]. [15] Assuming the vertical velocity to be smaller than the characteristic tan"
terminal dispersion,thickness variation,impacts,STRONG_SUPPORT,terminal dispersion thickness variation,"The text directly links the decrease in thickness of the deposit of small beads to an increase in the length of the deposit, implying a relationship between thickness variation and terminal dispersion.","given by equation (1) (Figs. 20 and 21). This in- crease of the length can be linked to the decrease of the thickness of the deposit of small beads compared to the monodisperse case. Moreover, for these experiments, there is some increase of the width with respect to the mono- disperse case (the deposit is widened). The impact of the variation of the thickness on the length is greater than those o"
ridged facies distribution,thickness variation,related_to,NOT_SUPPORTED,ridged facies distribution thickness variation,"The source text does not mention ""ridged facies distribution"" or discuss any form of ""thickness variation"" in the context of the described facies associations and turbidites. The text focuses on describing the characteristics of different sedimentary layers and their contacts but does not establish ","to slightly erosive contact. The basal ﬁne sand layer ﬁnes up into silt and mud that commonly show planar lamination (Fig. 11). The facies association is overlain by hemipelagic deposits, showing a gradual contact. Facies association 2 beds are interpreted as medium to ﬁne-grained turbidites showing the Tc to Te terms of Bouma (1962). Thin-bedded, <10 cm thick ﬁne sand turbidites (Fig. 11) are obs"
terminal dispersion,width variation,impacts,WEAK_SUPPORT,terminal dispersion width variation,"The text describes how the width of the deposit decreases rapidly, which can be interpreted as a form of terminal dispersion where the smaller particles tend to concentrate in the center, leading to a narrower overall width.","the ﬂow). Finally, we analyze the variation in these morphologies with the percentage of large beads %l and with the diameters ds and dl. A summary of the results is presented in Table 3. 4.2.1 Experiments with group A beads This condition implies that, for each I, the basal friction of the large beads is larger than the basal friction of the small beads (Fig. 5(a)). In this section, the angle of "
flow direction,lateral erosive walls,impacts,STRONG_SUPPORT,flow direction lateral erosive walls,"The text describes the plowing of the sea-floor substrate as resulting in nearly vertical erosional lateral margins, which directly implies a relationship between the flow direction and the formation of lateral erosive walls.",from http://pubs.geoscienceworld.org/books/edited-volume/chapter-pdf/3801855/9781565762879_ch02.pdf by Sorbonne Universite user HENRY W. POSAMENTIER AND OLE J. MARTINSEN 24 Internal chaotic to transparent seismic reflection character (see Figs. 32 and 33) Basal grooving and/or deep erosional scour (see Figs. 35-38) Plowing of sea-floor substrate resulting in nearly vertical erosional lateral margi
flow direction,scours,impacts,STRONG_SUPPORT,flow direction scours,The text explains that the laminar flow of the mass-transport deposits leads to the formation of long linear grooves or scours due to the tools having a longer residence time at the base of the flow.,"deposit as arcuate fault traces, oriented transverse to flow direction (Figs. 8, 10, 30, 33; Prior et al., 1984; Brami et al., 2000; Posamentier and Kolla, 2003). In some in- stances, successive flows can result in laterally directed compres- sion as illustrated in Figure 34. Erosion Associated with Mass-Transport Deposition Erosional scour is a common characteristic of mass-trans- port deposits. "
existing geomorphology,width variation,related_to,STRONG_SUPPORT,existing geomorphology width variation,"The text describes how the width of the deposit increases from proximal to distal areas, which directly relates to the concept of width variation.","lizes and slides. The surfaces are often destroyed by the initial erosional processes associated with MTC develop- ment, but preservation of the basal condensed sections in- dicates the predominance of laminar £ow in the basal parts of the MTCs. RMS amplitude extractions taken from di¡erent seis- mic time intervals within the MTC_2.1unit reveal two main stages of development.An amplitude extractio"
existing geomorphology,flow velocity and energy,impacts,NOT_SUPPORTED,existing geomorphology flow velocity and energy,"The source text does not mention any relationship between existing geomorphology and flow velocity and energy. The text discusses Hf/Ri values, failure surfaces, and numerical simulations related to granular flows, but does not link these concepts to existing geomorphology or flow velocity and energ","Hf /Ri is observed to saturate roughly approaching a value of the order of 0.74. This value has been associated with the angle of a failure surface within the granular column occurring upon removal of the tube dc � tan�1(0.74) � 36, 5� [Lajeunesse et al., 2004]. The rescaled front velocity and the amount of energy dissipated during the flow also appear to be independent of the mass but to vary wit"
flow velocity and energy,scours,impacts,NOT_SUPPORTED,flow velocity and energy scours,The source text does not mention scours or any relationship involving scours with flow velocity and energy.,"Hf /Ri is observed to saturate roughly approaching a value of the order of 0.74. This value has been associated with the angle of a failure surface within the granular column occurring upon removal of the tube dc � tan�1(0.74) � 36, 5� [Lajeunesse et al., 2004]. The rescaled front velocity and the amount of energy dissipated during the flow also appear to be independent of the mass but to vary wit"
plowing effect on underlying material,BS flat sub-horizontal zone,impacts,NOT_SUPPORTED,plowing effect on underlying material BS flat sub-horizontal zone,"The source text does not mention any concept related to a ""plowing effect on underlying material"" or a ""BS flat sub-horizontal zone."" The text discusses acoustic anomalies, seismic reflections, and normal faults but does not establish a relationship between the provided concepts.","Zone B, acoustic anomalies observed on seismic and RMS- amplitude data are vertically stacked (Figs. 5e6). These stacked enhanced seismic anomalies (SESAs) are trapped underneath chaotic MTDs (Fig. 5aeb) and are sub-circular in plan view (Fig. 7). They occur along, or instead cross-cut, slope strata and seismic reﬂections that show a lateral inversion in polarity in these features (Fig. 6ced). Sev"
existing geomorphology,horizontal aspect ratio,impacts,STRONG_SUPPORT,existing geomorphology horizontal aspect ratio,"The text explicitly mentions the aspect ratio between the vertical and horizontal length scales, directly relating the existing geomorphology (implied by the mention of surface topography amplitude) to the horizontal aspect ratio.","doi:10.1029/2004JB003161, 2005 1De´partement de Sismologie, Institut de Physique du Globe de Paris, Paris, France. 2Groupe de Recherches sur l’Erosion et les Eaux Continentales, Institut de Physique du Globe de Paris, Paris, France. 3De´partement de Mathe´matique et Applications, Ecole Normale Supe´rieure et CNRS, Paris, France. 4Laboratoire de Dynamique des Syste`mes Ge´ologiques, Institut de Phy"
flow behavior: elastic,horizontal aspect ratio,impacts,NOT_SUPPORTED,flow behavior: elastic horizontal aspect ratio,The source text does not mention anything about flow behavior being elastic or any reference to a horizontal aspect ratio in relation to flow behavior.,"as previous studies that directly compare granular flow laboratory experiments along rough inclined planes with LWA numerical simulations [Pouliquen and Forterre, 2002]. [17] The friction force has a direction opposite to the averaged tangential velocity field and when flowing, the amplitude of the friction force is governed by a friction coefficient and the total overall pressure, i.e., m = kTtk/"
volume of transported material,volume,impacts,STRONG_SUPPORT,volume of transported material volume,"The text provides an estimate for the volume of material excavated in association with slump scars, which directly relates the volume of transported material to the volume of material excavated.",AND SEISMIC DATA Slump Scar Slope Channel Basin Floor Shelf Edge Salt Dome Small mass-wasting features Small mass-wasting features 1 km 1 km Slump scars Slump scars A B FIG. 19.—A 3D perspective dip azi- muth image of the modern seaf- loor in the northeastern Gulf of Mexico showing slump scars in- dicative of past mass-transport events on the seafloor. Water depth ranges from approximately 200 m a
loss of mass,volume,impacts,WEAK_SUPPORT,loss of mass volume,"The text implies that there is a relationship between the loss of mass (implied by ""volume"") and the volume itself, as it discusses calculating volume when it is not reported, suggesting that volume is a measurable aspect of the landslide.","collapse, or mass failure. In some instances, where slope failures were identiﬁed with these generic terms but the manuscript provided detailed morphology and subsurface data that allowed a more rigorous classiﬁcation, we assigned a more speciﬁc term (i.e., slump, slide, or debris ﬂow) to better characterize postfailure dynamics. [20] Incorporation within a geographic information system (GIS) fram"
erosion of underlying material,volume,impacts,WEAK_SUPPORT,erosion of underlying material volume,"The text describes how MTD_1.2a erodes part of the underlying MTD_1.1, which can be interpreted as erosion of the underlying material (MTD_1.1) by the overlying MTD_1.2a. While the specific term ""volume"" is not used, the context clearly indicates an erosion process affecting the underlying material.","been obliterated by subsequent MTEs. This process is substantiated by the erosional char- acter of the younger MTD_1.2a that has remolded and incorporated part of MTD_1.1 (Fig. 6A, B). MTD_1.2a and 1.2b are emplaced above MTD_1.1 (Figs. 6, 7B). They extend in a down-dip direction throughout the seismic volume (Fig. 7B). MTD_1.2a is developed to the south and has a chaotic facies (Fig. 7B). It thic"
remobilization,volume,impacts,STRONG_SUPPORT,remobilization volume,"The text mentions the remobilized volume of sediments, which directly links the concept of remobilization to the volume of sediments involved.","in proximal areas and 10km in distal areas (Fig. 10a). Once again, the deposit is widening in its late stages (upper unit, NE locations). The total area covered by the upper unit is approximately 100km2, and the total remobilized volume of sediments was calculated to be 7 km3. The ¢rst stages of in¢lling for MTC_2.1were in£uenced greatly by the presence of the mud-volcano-cored Haydn Ridge. This r"
compaction during burial,volume,impacts,STRONG_SUPPORT,compaction during burial volume,"The text directly mentions that vertical compaction during burial is a cause of matrix contraction, which implies a relationship between compaction during burial and the volume of the matrix.","state. However, abnormal pressures will tend to dissipate as soon as the generating mechanism stops and provided that the rocks are permeable. In practice, therefore, overpressures are likely to be transitory (Neuzil, 1994). For the generation of ﬂuid overpressure in situ, several mechanisms have been suggested (Osborne and Swarbrick, 1997; Swarbrick et al., 2002). The overpressure may result from"
triggering turbidity current,loss of mass,impacts,NOT_SUPPORTED,triggering turbidity current loss of mass,"The source text discusses the processes that can trigger turbidity currents, such as landslides caused by storms or earthquakes, but does not mention any relationship between triggering turbidity currents and the loss of mass.","produced displays increasingly ﬂuid-like behaviour. As the debris ﬂow continues on its path, further dilution by sur- rounding water occurs, particularly as sediment is eroded from the front of the ﬂow. Ultimately, a dilute turbulent cloud is created that has a density below 1.1 g cm−3. The resulting turbidity current can ﬂow for long distances (up to hun- dreds of kilometres) at moderate to high "
trigger turbidity current at stop,loss of mass,impacts,NOT_SUPPORTED,trigger turbidity current at stop loss of mass,The source text does not mention any relationship between triggers for turbidity currents and the loss of mass. It discusses turbidity currents in relation to geological events like submarine slides and megaturbidites but does not link these directly to the loss of mass.,"Abyssal Plain) to one main event during the past 60 kyr (Herodotus Basin). For the Agadir Canyon system (Ercilla et al., 2003), one large turbidity current feeds the Agadir Basin every 30 kyr (Weaver et al., 2000). When compared with submarine slides on the formerly glaciated mid- Norwegian margin where one mega-slide occurred approximately every 100 kyr (Solheim et al., 2005a), the frequency of m"
flow direction,principal direction,impacts,NOT_SUPPORTED,flow direction principal direction,"The source text does not mention ""principal direction"" or any similar concept related to ""flow direction."" It discusses flow direction in the context of seismic amplitude profiles and mass-transport deposits but does not establish a relationship with a principal direction.","Flow Direction FIG. 26.—Seismic ampli- tude profile and ex- tracted illuminated surface characterized by rugosity at top of a mass-transport de- posit, northeastern Gulf of Mexico. The relief on these hum- mocks ranges up to 35 m. Note that the high degree of rug- osity is somewhat lo- calized and does not characterize the en- tire mass-transport deposit. It is unclear whether these depos- its com"
topography confinement downwards,BS median slope,impacts,NOT_SUPPORTED,topography confinement downwards BS median slope,The source text does not mention any relationship between topography confinement downwards and BS median slope.,"of 3,800 m. The megaslide is laterally and frontally confined, favoring the development of a series of reverse faults rooted on detachment levels that progressively become shallower, thus decreasing the thickness of the mobilized deposits from 1,000 m to about 300 m basinward. Eventually they reach the seafloor forming pressure ridges (up to 50 m of relief) (Fig. 4). Fig. 3 Headwall scarp, displac"
flow behavior: elastic,BS median slope,impacts,NOT_SUPPORTED,flow behavior: elastic BS median slope,"The source text does not mention ""flow behavior: elastic"" or any reference to ""BS median slope"". It discusses various types of geological processes such as creep, slides, slumps, and flows but does not establish a relationship between flow behavior being elastic and any median slope.","16), slide (Fig. 10C), slump (Fig. 4), and flow (Fig. 33C) are discussed in greater detail below. (Redrawn and adapted from Nemec, 1991, and Martinsen, 1994). Increasing flow velocity cm/yr m/s CREEP SLIDE SLUMP FLOW Continuum Process Creep Slides Slumps Flows (plastic behavior) Flows (fluidal behavior) Falls Grain flow Liquefied flow Fluidized flow Turbidity current Debris falls Rock falls CREEP "
seafloor shapes and dip variations,plunging pool effect,impacts,STRONG_SUPPORT,seafloor shapes and dip variations plunging pool effect,"The text indicates that submarine plunge pools form where there is a significant change in the slope of the seafloor, which is directly related to the seafloor shapes and dip variations.","of submarine plunge pools of variable size and shape at the base of the Makran conti- nental slope illustrates the impact of the tecton- ically induced, complex sea ﬂoor topography on turbidite system architecture and mechanisms of sediment transfer at the deformation front (i.e. the trench-ﬁll mechanisms). Due to the lack of seis- mic or core data in present-day examples of submarine plunge pools"
plunging pool effect,plunging pool indicator,impacts,NOT_SUPPORTED,plunging pool effect plunging pool indicator,"The source text does not mention any concept related to ""plunging pool effect"" or ""plunging pool indicator."" The text discusses the characteristics, occurrence, and formation processes of plunge pools but does not establish a relationship between a ""plunging pool effect"" and a ""plunging pool indicat","the presence of individual plunge pools, this is the ¢rst demonstration of their regional occurrence and characteristic mor- phology. It is apparent that plunge pools occur where there is an abrupt decrease in slope of more than V4‡ (they occur more frequently where the decrease is more than V10‡), and are typically V400 m wide and V21 m deep. Plunge pools occur on both active and passive continen"
plunging pool effect,erosion of underlying material,impacts,STRONG_SUPPORT,plunging pool effect erosion of underlying material,"The text describes how an impact pool forms by eroding the substrate, which directly links the concept of a plunging pool effect (impact pool) to the erosion of underlying material.","(or reversal) in slope and undergo the same abrupt transition from erosion to deposi- tion. Thus, the depression becomes progressively accentuated. Deposits prograde into the pool from the down-dip side, and the pool migrates up-dip. Pratson et al.’s (2001) results are intriguing. As with any numerical model, the sedimentary sys- tem is simpli¢ed signi¢cantly (e.g. the £ow cannot expand orthogonal"
existing geomorphology,plunging pool effect,impacts,WEAK_SUPPORT,existing geomorphology plunging pool effect,"The text describes the occurrence of plunge pools in relation to an abrupt decrease in slope, implying a relationship between the existing geomorphology (slope) and the formation of plunging pools.","the presence of individual plunge pools, this is the ¢rst demonstration of their regional occurrence and characteristic mor- phology. It is apparent that plunge pools occur where there is an abrupt decrease in slope of more than V4‡ (they occur more frequently where the decrease is more than V10‡), and are typically V400 m wide and V21 m deep. Plunge pools occur on both active and passive continen"
flow velocity and energy,plunging pool effect,impacts,STRONG_SUPPORT,flow velocity and energy plunging pool effect,"The text describes how the reduction in flow velocity due to the plunge pool effect leads to an increase in flow thickness, which allows the upper, finer-grained component of turbidity flows to spill over the plunge pool relief. This directly links the flow velocity and energy changes to the plungin","on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License Fig. 11); this indicates that sediment waves asso- ciated with P1 are built by turbidity currents that spill over the plunge pool relief. According to the continuity equation of water ﬂux, the rapid reduction in ﬂow velocity is combined with an increase in ﬂow thickness (Komar, 1971), allo"
source domain in basin,initial aspect ratio and top of mass slope angle,impacts,NOT_SUPPORTED,source domain in basin initial aspect ratio and top of mass slope angle,"The source text does not mention either the ""source domain in basin"" or the ""initial aspect ratio and top of mass slope angle."" It discusses the aspect ratio of flows and their behavior during collapse experiments but does not relate these concepts to the specified Subject and Object.","topogra- phy. In this case, the LWA is a natural approximation due to the small aspect ratio of the flow d = H/L, where H is the height of the flowing material and L the running distance. Obviously, such a geometrically based argument is not necessarily relevant in collapse experiments. However, note that the LWA is a kinematic approximation based on the existence of a spatial scale, e.g., the ver"
remobilization,multiple terracing downslope,impacts,NOT_SUPPORTED,remobilization multiple terracing downslope,"The source text does not mention ""multiple terracing downslope"" or any similar concept that could be interpreted as ""multiple terraces"" forming downslope. It discusses remobilization and its effects on strata, but does not describe a process of terracing.","common to translation zones of Alves et al. 815 MTDs, where debrites are common, as they record the bulk of downslope movement of such strata (Varnes, 1978; Frey-Martinez et al., 2006). Dis- tinct degrees of strata remobilization can occur in this region, a factor creating variations in the absolute values of C and E. Directionality (D) can vary according to any inherited or postdepo- sitional fab"
triggering cascading mass movements,multiple terracing downslope,related_to,NOT_SUPPORTED,triggering cascading mass movements multiple terracing downslope,"The source text does not mention ""multiple terracing downslope"" or any form of terracing. It discusses the initiation and growth of slope failures, the role of primers and triggers, and the classification of mass transport deposits, but does not link these concepts to terracing.","stress and shear strength is restored. Upon the initiation of failure, deformation radiates from a point source with compressive deformation of the moving mass progressing downslope and extensional deformation ‘ret- rogressing’ upslope (Farrell,1984).The slope failure grows and increases in volume by the downslope accretion and upslope incorporation of slope material into the translated mass. Geol"
upward connection to other MTDs,multiple terracing downslope,related_to,NOT_SUPPORTED,upward connection to other MTDs multiple terracing downslope,"The source text does not mention any relationship between an ""upward connection to other MTDs"" and ""multiple terracing downslope."" The text discusses the occurrence of megaslides and their characteristics but does not establish a connection between these concepts.","et al., 1997; Maslin and Mikkelsen, 1997; Pirmez and Imran, 2003; Maslin et al., 2005). However, the Up- per Cretaceous to Quaternary stratigraphic section of the basin also glides along multiple d�ecollements in a linked extensional- compressional system (Cobbold et al., 2004; Silva et al., 2009; Reis et al., 2010). An upslope set of extensional faults and huge downslope fold-and-thrust belts roo"
initial potential energy of mass,erosion of underlying material,impacts,NOT_SUPPORTED,initial potential energy of mass erosion of underlying material,"The source text discusses the dissipation of initial potential energy and its relationship to the amount of granular material mobilized and energy dissipation. However, it does not mention erosion of underlying material as a consequence or related process.","are governed by the applicable Creative Commons License leading to me � 0:5 ﬃﬃﬃa p : ð38Þ Numerically, a scaling relation me / a0.52 is found for a < 1 with an uncertainty in the exponent of 0.52 ± 0.02, which is close to the experimented square-root type of scaling. This is consistent with an interpretation in terms of two regimes. For small aspect ratios, only a few parts of the granular materia"
erosion of underlying material,lateral erosive walls,impacts,STRONG_SUPPORT,erosion of underlying material lateral erosive walls,"The text describes how erosion surfaces along the lateral wall are interpreted to have been formed by the gravitational collapse of the wall itself, implying a direct relationship between the erosion of underlying material and the lateral erosive walls.","surfaces, suggesting that these deposits are the result of multiple periods of erosion and deposition. Along the northern lateral wall, arcuate scarps visible on variance extractions (Fig. 11a) coincide with a terrace-like geometry to the basal surface (Fig. 11c). These discontinuous erosion surfaces are overlain by deb- rites and are, therefore, interpreted to have been formed by gravitational co"
triggering cascading mass movements,BS ramps,impacts,NOT_SUPPORTED,triggering cascading mass movements BS ramps,"The provided source text does not mention ""triggering cascading mass movements"" or ""BS ramps."" There is no information that links these two concepts.","D., Stipp, M., Berndt, C., Urgeles, R., Chaytor, J., Huhn, K., Strasser, M., Harbitz, C.B., 2014. Submarine Mass Movements and Their Conse- quences. 6th International Symposium. Advances in Natural and Technological Re- search 37 p. 683. Kvalstad, T.J., Andresen, L., Forsberg, C.F., Berg, K., Bryn, P., Wangen, M., 2005. The Storegga slide: evaluation of triggering sources and slide mechanics. Mar."
post deposition regional deformation,BS ramps,impacts,WEAK_SUPPORT,post deposition regional deformation BS ramps,"The text mentions ""lateral ramps"" which are likely referring to the BS ramps (Boundary Surface ramps) mentioned in the concepts. However, it does not explicitly state that these ramps are related to post-deposition regional deformation.","glide planes (Figs. 3 and 4) that are subparallel to the axes of thrust anticlines (Alves et al. 2014). No groves or striations were identified on the basal surface of MTD 6, and no blocks have been identified in the failed material (Fig. 6). A particular charac- ter observed on seismic data is the lateral ramps in the region where C0018 was drilled (Fig. 6). Headwall scarps are observed close to "
flow behavior: elastic,scours,impacts,NOT_SUPPORTED,flow behavior: elastic scours,"The source text does not mention ""flow behavior: elastic"" or ""scours"" in relation to each other. It discusses scours in the context of erosional features and their implications for the movement of sediments, but there is no reference to elastic flow behavior.","both upper slope, ﬁne-grained contouritic deposits and, presumably more lithiﬁed, outer shelf sands, as its headwall reached the shelf-break region (Fig. 9B). The MTD_1.2a accumulation zone is characterized by a series of kinematic features such as pressure ridges and scours (Fig. 7B). Erosional scours at the base of MTD_1.2a, suggest gouging phenomena during its emplacement, showing that the fail"
seafloor effective friction angle,scours,impacts,NOT_SUPPORTED,seafloor effective friction angle scours,"The source text does not mention seafloor effective friction angle or scours. It discusses effective friction in the context of geological gravitational events and their characterization using the notion of effective friction, but it does not link these concepts to seafloor conditions or scours.","cases, this must be linked to the friction coefficient m = tan d as for the saturation of Hf/Ri. 5.4. Effective Friction H/L [55] In geological literature, characterization of geologi- cal gravitational events very often make uses of the notion of effective friction me = H/L, where H is the fall height and L the horizontal runout distance [e.g., Siebert et al., 1987; McEwen, 1989; Stoopes and Sher"
lithology of underlying material downslope,BS strong amplitude,impacts,NOT_SUPPORTED,lithology of underlying material downslope BS strong amplitude,"The source text does not mention the lithology of the underlying material downslope or any reference to ""BS strong amplitude"" directly. The text discusses mass transport deposits, mud volcanoes, and their characteristics but does not establish a specific relationship between the lithology of the und",mass transport deposit contains an elongated tail of high ampli- tude material downslope of a mud volcano edi¢ce located upon the basal shear surface.The amplitude extraction is taken through mass transport deposit 6 on Shah Deniz from 20 m above the basal shear surface with an extraction window of 30m. Figure S2. Mass transport deposit frontal margin obstructed by a mud volcano crater. Low amplit
fluid overpressure on basal surface,BS strong amplitude,impacts,NOT_SUPPORTED,fluid overpressure on basal surface BS strong amplitude,"The source text does not mention any ""BS strong amplitude"" related to the fluid overpressure on the basal surface. It discusses the fluid overpressure and its effects but does not reference an amplitude or strength of the basal surface (BS).","5a). The downslope edge of the cover had the shape of a triangular wedge. The surface slope of this wedge varied between 8° and 20°, depending on the series of experiments. We used materials having a negligible cohesion [Schellart, 2000], corresponding to the assumptions of the analytical model. The high permeability contrast between the glass microbeads and the sand (Table 1) allowed for ﬂuid ove"
post deposition of turbidites,US with turbidites on top,impacts,NOT_SUPPORTED,post deposition of turbidites US with turbidites on top,The source text does not mention any relationship between the post-deposition of turbidites and the United States with turbidites on top. The text focuses on the turbidite deposits in the Oman abyssal plain and does not reference the United States or any similar geographical location.,"the eastern canyon systems (Fig. 2). Nonetheless, turbidite bed correlation shows that the gravity currents that reach the ﬂat and unchannellized Oman abyssal plain are likely to produce extensive (sheet) turbidite deposits. Simple calculations from the thicker (114 cm on average), core-to-core correlated turbidite bed (T2 on Fig. 14) give a minimum of 4Æ7 km3 of sediment that have been deposited "
