source,target,relation,directed,n_cit,category,n_docs_src,n_docs_tgt,evidence
subsidence/uplift,volume,impacts,True,1,A_or_B_same_chunk,20,31,"[{""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""the UA also curves to the east and continues to the NE, bending towards the shelf (Figs 2 and 3a). According to Martinez et al. (2015), the structures in the study area have experienced episodic growth since the Late Miocene. This protracted growth history is evi- denced by thinning of the stratigra""}, {""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""Therefore, several external forcing mechanisms can be invoked for the emplacement of the shelf-attached MTCs (Ortiz-Karpf et al., 2015). However, the UA bends to the east towards the area of the shelf where the arcuate scarps, interpreted as a possible source for the shelf-attached MTCs, are located""}, {""doc"": ""D. Leynaud"", ""tier"": ""same_chunk"", ""snip"": ""can only be inferred from historical records or modelling scenarios for past times; this implies that uncertainty remains when relating the occurrence of certain slope failures with earthquakes. Fig. 1 shows the location of submarine slides on the formerly glaciated and non-glaciated European Margin""}]"
topography confinement downwards,terminal dispersion,impacts,True,1,B_distributed,21,4,[]
terminal dispersion,thickness variation,impacts,True,1,A_or_B_same_chunk,4,31,"[{""doc"": ""Moscardelli_and_Wood_2008"", ""tier"": ""same_chunk"", ""snip"": ""palaeoshelf break that have a semicircu- lar shape and average diameters of 4.5km and average areas of 14km2 (their Fig. 18b; Fig. 6a this work). The collapsed sediments were transported downslope through the Calli- core and Haydn megachutes as gravity-induced deposits that were ¢nally deposited as ""}]"
ridged facies distribution,thickness variation,related_to,False,1,A_direct,24,31,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Seismic profiles show this MTD sheet as exhibiting irregular thickness of chaotic and transparent facies that have scoured into the underlying deposits (Fig.""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""In these surface wedges, hummocky surfaces are observed on side-scan sonar, and chaotic seismic facies are exhibited in high-resolution seismic profiles (Twichell -92.28 -92.26 -92.24 -92.22 -92.20 -92.18 26.50 26.52 26.54 26.56 Contour Interval: 25 ms (twt) Seismic Unit MTD 1 Thickness Beaumont Bas""}, {""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_sentence"", ""snip"": ""20 2.5 km 100 S1 outline 2.5 km D MC LAD 5 km 60 20 100 D MC S2 outline LAD 5 km 20 MC LAD D 100 5 km 60 80 0.5 1 0 Variance 0 100 200 300 Thickness (m) S3 (a) Underlying channel (a) (a) D: Debrites Low-amplitude debrites LAD: Megaclasts (MC) N N MC LAD D D S4 5 km Underlying channel N N N N Souther""}]"
terminal dispersion,width variation,impacts,True,1,A_or_B_same_chunk,4,21,"[{""doc"": ""Moscardelli_and_Wood_2008"", ""tier"": ""same_chunk"", ""snip"": ""palaeoshelf break that have a semicircu- lar shape and average diameters of 4.5km and average areas of 14km2 (their Fig. 18b; Fig. 6a this work). The collapsed sediments were transported downslope through the Calli- core and Haydn megachutes as gravity-induced deposits that were ¢nally deposited as ""}, {""doc"": ""Moscardelli_and_Wood_2008"", ""tier"": ""same_chunk"", ""snip"": ""ent stratigraphic levels within MTC_2 (Fig. 8) reveal two main phases of this unit’s evolution. Phase1 (Fig. 8a) is as- sociatedwith initial erosional processes that generated the basal surface of MTC_2. During this phase vertical and lat- eral erosionwas the dominant process, several megascours wer""}, {""doc"": ""Moscardelli_and_Wood_2008"", ""tier"": ""same_chunk"", ""snip"": ""lizes and slides. The surfaces are often destroyed by the initial erosional processes associated with MTC develop- ment, but preservation of the basal condensed sections in- dicates the predominance of laminar £ow in the basal parts of the MTCs. RMS amplitude extractions taken from di¡erent seis- mi""}]"
flow direction,lateral erosive walls,impacts,True,1,A_direct,35,11,"[{""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""20 2.5 km 100 S1 outline 2.5 km D MC LAD 5 km 60 20 100 D MC S2 outline LAD 5 km 20 MC LAD D 100 5 km 60 80 0.5 1 0 Variance 0 100 200 300 Thickness (m) S3 (a) Underlying channel (a) (a) D: Debrites Low-amplitude debrites LAD: Megaclasts (MC) N N MC LAD D D S4 5 km Underlying channel N N N N Souther""}, {""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""of the deposit to the SW and its southwestern termination against S5 suggest deposition from a SW- directed ﬂow. Centralregion Only one laterally extensive MTC (C1) is developed in the central region. C1 overlies a major erosion surface that trends along the syncline, cross-cuts the downdip anti- cl""}, {""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""of Geoscientists & Engineers and International Association of Sedimentologists 84 A. Ortiz-Karpf et al. 13652117, 2018, S1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/bre.12208 by Bibliothèque de Sorbonne Université, Wiley Online Library on [13/03/2025]. See the Terms and Conditions""}]"
flow direction,scours,impacts,True,1,A_direct,35,10,"[{""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""(Fig. 5e). To the NE, S5 thins and pinches-out against the underlying channel– levee complex set and is erosionally truncated by S6 (Figs 6a and 8a). To the east, it thins against the SDA where it is folded and faulted (Fig. 7a, b). S5 has an irreg- ular top that is overlain and locally eroded by ch""}, {""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""folds, which are concentrated towards the centre of the deposit where it is thickest (up to 200 m) (Fig. 9a–c). Towards its margins, the deposit is thinner (up to 50 m) and consists of lower- amplitude debrites (Fig. 9a, b). The deposit thins to ≤50 m across the downdip anticline, where it contains ""}, {""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_sentence"", ""snip"": ""SFZ SDA MC MC MC D TFS D NW SE LAD Erosional scour Groove S4 Fig.8a Fig.8b NW SE B Fig.8a Fig.8b S3 S2 S1 S5 S4 0 200 m 1 km 0 200 m 1 km SDA SFZ Underlying channels (c) D 5 km D TFS MC a & b a & b MC Deepest erosion Erosional scour Grooves 5 km 300 200 100 a & b MC 5 km Debrites D: Thrust and fold ""}]"
existing geomorphology,width variation,related_to,False,1,A_or_B_same_chunk,25,21,"[{""doc"": ""Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport"", ""tier"": ""same_chunk"", ""snip"": ""along the east-westernward Xisha trough, south of Hainan Island and east of the Yinggehai basin. The north continental slope in the Qiongdongnan basin began to develop mainly along traces of large faults in the late Miocene, and initially developed in the east part of the basin. Some wide valleys an""}, {""doc"": ""1-s2.0-S0025322713000571-main"", ""tier"": ""same_chunk"", ""snip"": ""not discontinuities in the seismic volume in contrast to their Type II counterparts (Fig. 5a,c and d). Type I ramps are thought to be sidewalls of basal excavation areas on the basal shear surface through which sediments were transferred during the movement of MTDs. Plots of variations in the diamet""}, {""doc"": ""Moscardelli_and_Wood_2008"", ""tier"": ""same_chunk"", ""snip"": ""lizes and slides. The surfaces are often destroyed by the initial erosional processes associated with MTC develop- ment, but preservation of the basal condensed sections in- dicates the predominance of laminar £ow in the basal parts of the MTCs. RMS amplitude extractions taken from di¡erent seis- mi""}]"
existing geomorphology,flow velocity and energy,impacts,True,1,B_distributed,25,10,[]
flow velocity and energy,scours,impacts,True,1,A_or_B_same_chunk,10,10,"[{""doc"": ""9781565762879_ch02"", ""tier"": ""same_chunk"", ""snip"": ""POSAMENTIER AND OLE J. MARTINSEN 22 The erosive power of mass-transport events can be observed in Figures 32, 36, and 38, where erosion depth of as much as 80 m can be documented. The effectiveness of a mass-transport event to erode the substrate is a function of: (1) degree of substrate induration;""}, {""doc"": ""9781565762879_ch02"", ""tier"": ""same_chunk"", ""snip"": ""mass-transport deposits is the erosional scour that commonly can be observed at the basal contact. Long linear grooves can be formed through erosion by large clasts, or tools, occurring within the basal part of the flow. Such clasts remain in the basal part of the flow as a result of the laminar flo""}]"
plowing effect on underlying material,BS flat sub-horizontal zone,impacts,True,1,A_or_B_same_chunk,21,27,"[{""doc"": ""Bull & Cartwright (2009)"", ""tier"": ""same_chunk"", ""snip"": ""due to a realignment of the maximum compressive stress, causing different rates of displacement across the width of the MTC toe (Frey Martinez et al., 2006). Prior et al. (1984) sug- gested that the development of pressure ridges may progress through a combination of ‘stopping’ forces and resistance""}, {""doc"": ""Bull & Cartwright (2009)"", ""tier"": ""same_chunk"", ""snip"": ""failed material moves over the basal shear surface, or indeed, a combination of these two factors may be critical (Strachan, 2002a; Frey Martinez et al., 2005). Strachan (2002a) postulated that pre-existing weaknesses in the basal shear surface, caused by original deposition of the sediments, may be""}, {""doc"": ""Bull & Cartwright (2009)"", ""tier"": ""same_chunk"", ""snip"": ""often observed from near the headwall regions of MTCs (Solheim et al., 2005; Fig. 7A, C), or where translation of material across the basal shear surface is limited (Frey Martinez et al., 2005). In this context, the basal shear surface propagates downwards to link with a deeper weak layer. The basal""}]"
existing geomorphology,horizontal aspect ratio,impacts,True,1,A_or_B_same_chunk,25,21,"[{""doc"": ""A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric"", ""tier"": ""same_chunk"", ""snip"": ""framework of the La Clapière landslide (simpliﬁed after Guglielmi et al., 2005). 1, La Clapière landslide; 2, uncompressed toppled zone (10−3N KN10−5 m/s); 3, low uncompressed zone (10−8NKN10−9 m/s); 4, major normal faults; 5, minor faults; 6, thrust fault; 7, old scarps; 8, present day scarp; 9, cr""}, {""doc"": ""A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric"", ""tier"": ""same_chunk"", ""snip"": ""results in a progressive reduction of both horizontal and vertical sizes of the sliding shallow unit (Fig. 5); and at ϕ ≥45°, the shallow sliding does not occur at all (even at c=0). But deep normal faulting resulting in crest sagging is still active (it is not displayed in Fig. 5B as the γ̅p value ""}, {""doc"": ""A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric"", ""tier"": ""same_chunk"", ""snip"": ""Pa; (B) c=2×104 Pa. The large-scale normal faults are not seen in Fig. 6B, but they are still active. Grey-level palettes correspond to the accumulated inelastic deformation γ ̅p. Fig. 7. Model with idealized linear topography run at ϕ=30° until c=1×104 Pa. Grey- level palettes correspond to the acc""}]"
flow behavior: elastic,horizontal aspect ratio,impacts,True,0,A_direct,27,21,"[{""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""for steeply steeping strata flanking diapir B (Figures 13B, 14B, 16A). In this CDE plot, we discriminate be- tween strata with distinct degrees of disaggregation alternating and intact blocks with remnant sub- horizontal strata. Based on the plot in Figure 17 and on data from the two other case stud""}, {""doc"": ""Elverhoi, A., Breien"", ""tier"": ""same_chunk"", ""snip"": ""the flume, the debris flow slurry is filled into the head tank, which is opened by a gate mechanism. The gate is operated manually and automatically triggers the data acquisition system. The sediment runs down the inner flume and exits into the large tank at the end. The data acquisition system (Bre""}, {""doc"": ""Elverhoi, A., Breien"", ""tier"": ""same_chunk"", ""snip"": ""b Velocity distribution with time, close to the wall (averaged in x-direction). A bipartite flow develops. At the same time, a little deposition starts to occur. c Velocity profiles (blue, solid line) and corresponding photos for head, body and tail of flow as the flow passes the upstream station. H""}]"
volume of transported material,volume,impacts,True,0,A_direct,27,31,"[{""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""resolved geological fea- tures within MTDs, as well as the degree of structural complexity experienced by failed strata (Figure 9). Values of C and E can be calculated in a fourth step by extracting amplitude values from predefined (cropped) volumes in MTDs, between their top and bottom surfaces, be""}, {""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_sentence"", ""snip"": ""The difference between the volumes of detached and shelf-attached MTCs can be readily explained by considering the volumes of material available at the source; these volumes are likely to be smaller along local ﬂank collapses than on the delta-fed shelf break.""}, {""doc"": ""Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport"", ""tier"": ""same_sentence"", ""snip"": ""As an event deposit, large volumes of deposits are transported in a short time.""}]"
loss of mass,volume,impacts,True,0,A_direct,35,31,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""e-mail: dtwichell@usgs.gov ABSTRACT: The volume and interplay of mass-transport (MTD) and turbidite-system deposits varies on different continental margins depending on local and external controls such as active-margin or passive-margin tectonic setting and climatic and/or sea-level change.""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Downloaded from http://pubs.geoscienceworld.org/books/edited-volume/chapter-pdf/3802166/9781565762879_ch03.pdf by Sorbonne Universite user 41 INTERPLAY OF MASS-TRANSPORT AND TURBIDITE-SYSTEM DEPOSITS submarine-fan system was fed by river drainage systems across the Bering shelf.""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Downloaded from http://pubs.geoscienceworld.org/books/edited-volume/chapter-pdf/3802166/9781565762879_ch03.pdf by Sorbonne Universite user 41 INTERPLAY OF MASS-TRANSPORT AND TURBIDITE-SYSTEM DEPOSITS submarine-fan system was fed by river drainage systems across the Bering shelf.""}]"
erosion of underlying material,volume,impacts,True,0,A_or_B_same_chunk,20,31,"[{""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""the UA also curves to the east and continues to the NE, bending towards the shelf (Figs 2 and 3a). According to Martinez et al. (2015), the structures in the study area have experienced episodic growth since the Late Miocene. This protracted growth history is evi- denced by thinning of the stratigra""}, {""doc"": ""Dos-Reis-et-al-2016-MPG"", ""tier"": ""same_chunk"", ""snip"": ""carbonate-siliciclastic platform evidencing high erosion (the black dashed line represents the erosive surface). A.T. Reis et al. / Marine and Petroleum Geology 75 (2016) 29e52 49 (ii) the thicker PM4, on the other hand, clearly shows a pro- gressive lost in coherence heading upslope, from a seismic""}, {""doc"": ""Giacomo Dalla Valle"", ""tier"": ""same_chunk"", ""snip"": ""been obliterated by subsequent MTEs. This process is substantiated by the erosional char- acter of the younger MTD_1.2a that has remolded and incorporated part of MTD_1.1 (Fig. 6A, B). MTD_1.2a and 1.2b are emplaced above MTD_1.1 (Figs. 6, 7B). They extend in a down-dip direction throughout the seis""}]"
remobilization,volume,impacts,True,0,A_or_B_same_chunk,5,31,"[{""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""common to translation zones of Alves et al. 815 MTDs, where debrites are common, as they record the bulk of downslope movement of such strata (Varnes, 1978; Frey-Martinez et al., 2006). Dis- tinct degrees of strata remobilization can occur in this region, a factor creating variations in the absolute""}, {""doc"": ""Dos-Reis-et-al-2016-MPG"", ""tier"": ""same_chunk"", ""snip"": ""12 for location. A.T. Reis et al. / Marine and Petroleum Geology 75 (2016) 29e52 44 Miocene e gravity tectonics and mass wasting (Figs. 3, 4 and 18). Unfortunately, however, the available chronostratigraphic database does not provide sufﬁcient accurate age data to enable us to determine the precise ""}, {""doc"": ""J. S. Laberg"", ""tier"": ""same_chunk"", ""snip"": ""entrainment of MTDs MTD 6 exemplifies transformation from sliding to a cohesive density flow (debris flow) (see also Kitamura et al. 2014) without involving disintegration into blocks, and the above results have implications for the processes involved. Sediment bulk density (i.e. soil mass + pore fl""}]"
