source,target,relation,token_category,verdict,reasoning,passage_used
existing geomorphology,horizontal aspect ratio,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention any aspect related to the horizontal aspect ratio or existing geomorphology.,"framework of the La Clapière landslide (simpliﬁed after Guglielmi et al., 2005). 1, La Clapière landslide; 2, uncompressed toppled zone (10−3N KN10−5 m/s); 3, low uncompressed zone (10−8NKN10−9 m/s); 4, major normal faults; 5, minor faults; 6, thrust fault; 7, old scarps; 8, present day scarp; 9, cr"
flow behavior: elastic,horizontal aspect ratio,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow behavior: elastic"" or ""horizontal aspect ratio."" There is no information provided that links these two concepts.","for steeply steeping strata flanking diapir B (Figures 13B, 14B, 16A). In this CDE plot, we discriminate be- tween strata with distinct degrees of disaggregation alternating and intact blocks with remnant sub- horizontal strata. Based on the plot in Figure 17 and on data from the two other case stud"
volume of transported material,volume,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention any ""volume of transported material"" or simply ""volume"" in relation to each other. It discusses calculating values C and E by extracting amplitude values from predefined volumes in MTDs but does not establish a relationship between a ""volume of transported material"" ","resolved geological fea- tures within MTDs, as well as the degree of structural complexity experienced by failed strata (Figure 9). Values of C and E can be calculated in a fourth step by extracting amplitude values from predefined (cropped) volumes in MTDs, between their top and bottom surfaces, be"
loss of mass,volume,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""loss of mass"" or ""volume"" in relation to each other. It discusses the variation in the volume and interplay of mass-transport and turbidite-system deposits on different continental margins, but does not establish a relationship between a loss of mass and volume.",e-mail: dtwichell@usgs.gov ABSTRACT: The volume and interplay of mass-transport (MTD) and turbidite-system deposits varies on different continental margins depending on local and external controls such as active-margin or passive-margin tectonic setting and climatic and/or sea-level change.
erosion of underlying material,volume,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention erosion of underlying material or any reference to volume. There is no information provided that links these two concepts.,"the UA also curves to the east and continues to the NE, bending towards the shelf (Figs 2 and 3a). According to Martinez et al. (2015), the structures in the study area have experienced episodic growth since the Late Miocene. This protracted growth history is evi- denced by thinning of the stratigra"
remobilization,volume,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention ""remobilization"" or ""volume"" in relation to each other. It discusses remobilization occurring in translation zones and its effect on variations, but does not link it directly to any specific volume.","common to translation zones of Alves et al. 815 MTDs, where debrites are common, as they record the bulk of downslope movement of such strata (Varnes, 1978; Frey-Martinez et al., 2006). Dis- tinct degrees of strata remobilization can occur in this region, a factor creating variations in the absolute"
compaction during burial,volume,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention compaction during burial or volume in any context.,"basinward- verging thrust imbricates and multiple detachment levels (Briggs et al., 2006). The main difference between salt and shale comes from their rheology. Salt rheology does not change with temperature, depth of burial or strain. Its rheological behavior does not vary much through time and spa"
triggering turbidity current,loss of mass,impacts,A_direct,NOT_SUPPORTED,"The source text discusses mass-transport processes, buried shelf channels, and turbidity-current channels but does not mention any relationship between triggering turbidity currents and a loss of mass.","As a result, the margin has been dominated by mass-transport processes even though buried shelf channels fed into canyon heads and some incipient turbidity-current channels developed (Carlson and Karl, 1988)."
trigger turbidity current at stop,loss of mass,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""trigger turbidity current at stop"" or ""loss of mass."" It discusses mass-transport processes, buried shelf channels, and turbidity-current channels in the context of geological formations.","As a result, the margin has been dominated by mass-transport processes even though buried shelf channels fed into canyon heads and some incipient turbidity-current channels developed (Carlson and Karl, 1988)."
flow direction,principal direction,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow direction"" or ""principal direction,"" nor does it discuss any relationship between these two concepts.","The roller condition at the model bottom means that the model bottom is free to move in the horizontal direction that simulates the effect of the inﬁnitely thick object: the model bottom, which is an artiﬁcial (not natural) boundary, is not attached to the inﬁnitively rigid basis (is not ﬁxed) but t"
topography confinement downwards,BS median slope,impacts,A_direct,NOT_SUPPORTED,"The provided source text does not mention either ""topography confinement downwards"" or ""BS median slope"". There is no information given that links these two concepts.","Numerical modelling of the gravity-induced destabilization of a slope: The example of the La Clapière landslide, southern France A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric Geosciences Azur, Université de Nice Sophia-Antipolis and CNRS, Valbonne, France a b s t r a c t a r t i c l e i n f o Artic"
flow behavior: elastic,BS median slope,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow behavior: elastic"" or ""BS median slope"". It discusses the characteristics of MTD sheets in relation to their thickness and run-out distances on the seafloor.","most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets"
seafloor shapes and dip variations,plunging pool effect,impacts,C_absent,NO_CHUNK,absent du corpus,
plunging pool effect,plunging pool indicator,impacts,C_absent,NO_CHUNK,absent du corpus,
plunging pool effect,erosion of underlying material,impacts,C_absent,NO_CHUNK,absent du corpus,
existing geomorphology,plunging pool effect,impacts,C_absent,NO_CHUNK,absent du corpus,
flow velocity and energy,plunging pool effect,impacts,C_absent,NO_CHUNK,absent du corpus,
source domain in basin,initial aspect ratio and top of mass slope angle,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either the ""source domain in basin"" or any aspects related to ""initial aspect ratio and top of mass slope angle.""",syncline or sourced from the frontal limb of the SDA. N1 exploited and widened the CLC in the northern region. (d) C1 traversed the DA creating a through-going composite surface that connected the basin-low and the syncline. This surface amalgamated with the basal surface in the southern region crea
remobilization,multiple terracing downslope,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either ""remobilization"" or ""multiple terracing downslope."" It discusses Miocene gravity tectonics and mass wasting but does not establish any relationship between the specified geological concepts.","12 for location. A.T. Reis et al. / Marine and Petroleum Geology 75 (2016) 29e52 44 Miocene e gravity tectonics and mass wasting (Figs. 3, 4 and 18). Unfortunately, however, the available chronostratigraphic database does not provide sufﬁcient accurate age data to enable us to determine the precise "
triggering cascading mass movements,multiple terracing downslope,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention ""triggering cascading mass movements"" or ""multiple terracing downslope."" It discusses fault movement and folding but does not establish a relationship with the provided concepts.","2.2 Ma in a frontal wedge-toe position (Strasser et al., 2011). Splay-fault movement was initiated at about 1.95 Ma in the lower part of the wedge. Ongoing megasplay slip occurs since about 1.55 Ma (Strasser et al., 2009). As a result of the complex interaction between fault-propagation folding, sea"
upward connection to other MTDs,multiple terracing downslope,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention any relationship between ""upward connection to other MTDs"" and ""multiple terracing downslope."" It discusses the extension of MTDs downstream and their characteristics but does not relate these to terracing.","In summary, evidence from sonographs, seafloor mor- phology, seismic facies, and sediment lithology indicates that extensive sheets of multiple, thick MTDs extend downstream from the gigantic canyon mouths for more than 250 km across the abyssal seafloor (Figs."
initial potential energy of mass,erosion of underlying material,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention the initial potential energy of mass or the erosion of underlying material. It discusses the erosion of scarps and the development of mass transport complexes (MTCs) like the Storegga Slide, but does not link these concepts to the initial potential energy of mass or ","erosion of the scarp. Many MTCs, for example the Storegga Slide, develop in a retrogressive fashion, with sequential failure back-stepping upslope and creating a series of headwall scarps (Gauer et al., 2005). Scarp heights and lengths vary, from <10 m in height and tens of meters across, to example"
erosion of underlying material,lateral erosive walls,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""erosion of underlying material"" or ""lateral erosive walls."" It describes various geological features such as debrites, megaclasts, and thickness variations but does not establish a relationship between erosion and lateral erosive walls.",20 2.5 km 100 S1 outline 2.5 km D MC LAD 5 km 60 20 100 D MC S2 outline LAD 5 km 20 MC LAD D 100 5 km 60 80 0.5 1 0 Variance 0 100 200 300 Thickness (m) S3 (a) Underlying channel (a) (a) D: Debrites Low-amplitude debrites LAD: Megaclasts (MC) N N MC LAD D D S4 5 km Underlying channel N N N N Souther
triggering cascading mass movements,BS ramps,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""triggering cascading mass movements"" or ""BS ramps."" It discusses amplitudes within hemipelagites, continuous strata, and CDE methods for geological analysis.","considers the full spectrum of amplitudes within hemipelagites and continuous strata con- fining the MTDs to which the CDE method is applied. This same algorithm converts absolute values of C, D, and E in a constant sum, a necessary condition to represent CDE values in ternary plots (Figure 8). MAPP"
post deposition regional deformation,BS ramps,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The provided source text does not mention ""post deposition regional deformation"" or ""BS ramps."" There is no information given that links these two concepts.","Mass-transport complexes asmarkers of deep- water fold-and-thrust belt evolution: insights from the southern Magdalena fan, offshore Colombia Andrea Ortiz-Karpf,* David M. Hodgson,* Christopher A.-L. Jackson† and William D. McCaffrey* *School of Earth and Environment, University of Leeds, Leeds, UK "
flow behavior: elastic,scours,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""flow behavior: elastic"" or any form of ""scours."" It discusses the transition of a region called MTD_0.1 to the outer shelf and describes an erosional edge formed by the base cutting into the underlying stratigraphy.","with some conﬁdence that the headwall region of MTD_0.1 has reached the outer shelf region (Figs. 4A, 5B). At the transition between the lower slope and the basin ﬂoor, the base of MTD_0.1 cuts about 30 m into the underlying stratigraphy, forming an erosional edge (Fig. 4C). In the distal sector, th"
seafloor effective friction angle,scours,impacts,B_weak_cross_doc,NO_USABLE_PASSAGE,passages dechet/non co-presents,
lithology of underlying material downslope,BS strong amplitude,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either the ""lithology of underlying material downslope"" or ""BS strong amplitude"". There is no information provided that links these two concepts.","due to a realignment of the maximum compressive stress, causing different rates of displacement across the width of the MTC toe (Frey Martinez et al., 2006). Prior et al. (1984) sug- gested that the development of pressure ridges may progress through a combination of ‘stopping’ forces and resistance"
fluid overpressure on basal surface,BS strong amplitude,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""fluid overpressure on basal surface"" or ""BS strong amplitude"". It discusses the characteristics of MTD sheets and their run-out distances on the seafloor.","most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets"
post deposition of turbidites,US with turbidites on top,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention any relationship between post deposition of turbidites and units with turbidites on top. It discusses buried shelf channels, canyon heads, and turbidity-current channels but does not provide information that links these concepts to the specified subject and object.","buried shelf channels fed into canyon heads and some incipient turbidity-current channels developed (Carlson and Karl, 1988). Despite the formation of some channels during Pleistocene low- stands, subsequent massive MTD events apparently destroyed the incipient channel systems (Figs. 3, 4A). Consequ"
triggering turbidity current,post deposition of turbidites,impacts,A_direct,NOT_SUPPORTED,The source text does not mention the post-deposition of turbidites or any triggering of turbidity currents in relation to each other.,"buried shelf channels fed into canyon heads and some incipient turbidity-current channels developed (Carlson and Karl, 1988). Despite the formation of some channels during Pleistocene low- stands, subsequent massive MTD events apparently destroyed the incipient channel systems (Figs. 3, 4A). Consequ"
triggering turbidity current at stop,post deposition of turbidites,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""triggering turbidity current at stop"" or ""post deposition of turbidites."" It discusses buried shelf channels, canyon heads, and turbidity-current channels but does not establish a direct relationship between the concepts provided.","buried shelf channels fed into canyon heads and some incipient turbidity-current channels developed (Carlson and Karl, 1988). Despite the formation of some channels during Pleistocene low- stands, subsequent massive MTD events apparently destroyed the incipient channel systems (Figs. 3, 4A). Consequ"
triggering cascading mass movements,upward connection to other MTDs,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""triggering cascading mass movements"" or any ""upward connection to other MTDs."" It discusses turbidite systems and mixed MTD and turbidite systems in the Mediterranean continental margin.","by a variety of turbidite systems, with only minor basin-floor MTDs. Then we provide three examples that exhibit mixed MTD and turbidite systems, such as the Mediterranean continental margin off the Ebro River in Spain, which has some segments dominated by MTDs and others dominated by turbidite syst"
existing geomorphology,lateral connection to other MTDs,impacts,A_direct,NOT_SUPPORTED,The source text does not mention any existing geomorphology or its relationship to lateral connections to other MTDs.,"from Romero, 2009 Other anticline axis projected from Romero, 2009 Southern downdip anticline SFZ and updip thrusts projected from Romero, 2009 SFZ and updip thrusts projected from Romero, 2009 Uncertain interpretation Pre-existing CLC ? Pre-C1MTCs in southern syncline Pre C1 MTCs in northern syncli"
triggering cascading mass movements,runout distance,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either ""triggering cascading mass movements"" or ""runout distance."" It discusses gullies eroding slopes, faults cutting the outer shelf, and mass movements breaching the shelf-slope break, but does not link these concepts to runout distance.","Gullies erode into the upper slope. Outer shelf is cut by normal faults that parallel the shelf edge, and a graben formed. b) Large blocks detached from the upper slope, initiating breaching of the shelf–slope break. c) Continued mass movement resulted in headward and lateral canyon excavation of th"
initial aspect ratio and top of mass slope angle,initial potential energy of mass,impacts,A_direct,NOT_SUPPORTED,"The provided source text does not mention any aspects related to the initial aspect ratio, top of mass slope angle, or the initial potential energy of mass.","Sur submarine slide, Monterey fan, central California: Sedimentology, v. 35, p. 629–647. NORMARK, W.R., AND REID, J.A., 2003, Extensive deposits on the Pacific Plate from late Pleistocene North American glacial lake outbursts: Journal of Geology, v. 111, p. 617–637. NORMARK, W.R., MEYER, A.H., CREME"
initial potential energy of mass,runout distance,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention the initial potential energy of mass or runout distance. It discusses the proximal, intermediate, and distal parts of MTDs and their characteristics.","tion to the headwall (proximal erosive), transla- tional (intermediate), and toe (distal) parts of MTDs. This is an important character, as strata within specific zones of MTDs can show similar deformation styles, basal erosional features, and boundary features regardless of their size or litho- log"
topography confinement downwards,triggering turbidity current at stop,impacts,A_direct,NOT_SUPPORTED,"The provided source text does not mention either ""topography confinement downwards"" or ""triggering turbidity current at stop."" There is no information given that links these two concepts.","58, 376–406 doi: 10.1111/j.1365-3091.2010.01168.x 376 � 2010 The Authors. Journal compilation � 2010 International Association of Sedimentologists dynamics and the resulting sediment distribution. Channel formation in the abyssal plain and trench-ﬁll characteristics depend on the theoretical ‘equili"
topography confinement downwards,seafloor shapes and dip variations,related_to,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention topography confinement downwards or seafloor shapes and dip variations. It discusses the movement of fine-grained sediments and their deposition in the Oman basin during the Late Holocene highstand conditions.,"large failures of the shelf edge and/or upper slope ﬁne-grained sediments, occasionally reach the centre of the Oman basin during the Late Holocene highstand conditions. The resulting FA-3 beds are mostly composed of thick Te muds, and the silt/sand bases (Tc-d) are typically millimetre to decimetre"
flow behavior: elastic,detached MTD,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""flow behavior: elastic"" or ""detached MTD"" at all. It discusses the interplay of mass-transport and turbidite-system deposits in the context of later glacial deposition.","Downloaded from http://pubs.geoscienceworld.org/books/edited-volume/chapter-pdf/3802166/9781565762879_ch03.pdf by Sorbonne Universite user 59 INTERPLAY OF MASS-TRANSPORT AND TURBIDITE-SYSTEM DEPOSITS mixed contourite and debris-flow deposition, that take place during later glacial deposition."
detached MTD,volume,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention ""detached MTD"" or any variation thereof, nor does it discuss the ""volume"" in the context specifically required by the given concepts.",e-mail: dtwichell@usgs.gov ABSTRACT: The volume and interplay of mass-transport (MTD) and turbidite-system deposits varies on different continental margins depending on local and external controls such as active-margin or passive-margin tectonic setting and climatic and/or sea-level change.
subsidence/uplift,HS downslope evolution,impacts,B_distributed,NO_USABLE_PASSAGE,passages dechet/non co-presents,
subsidence/uplift,basin depocenter position,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention subsidence, uplift, basin depocenter position, or any related concepts.","the western domain, where piggyback basins are connected to the canyons, and seem to act as preferred turbidity current pathways (Fig. 7). In the ‘closed’ piggyback at the mouth of Canyon 3 (Fig. 8), a 200 km2 lobe of very low backscatter (black) acoustic facies is observed downstream of the knickpo"
source domain in basin,HS morphology,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either the ""source domain in basin"" or ""HS morphology"". It discusses a ""step-like, or ‘stair-case’ pattern"" in dip-sections and its relation to a ""retrogressive or ‘back-stepping’ pattern of failure development"".","et al., 2006). In addition, a step-like, or ‘stair- case’ pattern may be observed in dip-section (e.g. Kvalstad et al., 2005; Lastras et al., 2006), which is often taken to be indicative of a retrogressive or ‘back-stepping’ pattern of failure development (Kvalstad et al., 2005; Solheim et al., 2005"
flow behavior: elastic,presence of preserved blocks,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""flow behavior: elastic"" or ""presence of preserved blocks."" It discusses the characteristics of MTD sheets in relation to their thickness and run-out distances on the seafloor.","most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets"
flow behavior: elastic,triggering turbidity current,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention ""flow behavior: elastic"" or ""triggering turbidity current."" It discusses graded sand turbidites and their generation from canyon-head processes such as storm-induced turbidity currents and hyperpycnal flows from floods.","Graded sand turbidites are like those typically generated from canyon-head processes (e.g., ignitive turbidity currents of storms, hyperpycnal flows from floods) (Fig."
lithology in transported mass,triggering turbidity current,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""lithology in transported mass"" or ""triggering turbidity current."" It discusses seismic profiles and the observation of certain features in abyssal seafloor areas.","length are observed in the seismic profiles of the abyssal seafloor downstream from the canyon mouths; however, surface or subsurface channel– levee complexes are not observed in Figure 3 and are rarely observed in numerous other profiles (Carlson and Karl, 1988; Carlson et al., 1991). Previous inve"
flow direction,presence of preserved blocks,impacts,A_direct,NOT_SUPPORTED,The source text does not mention flow direction or the presence of preserved blocks. It discusses the thickness and run-out distances of MTD sheets on the abyssal seafloor.,"most MTD sheets generated by such failures are relatively thin (120 to 300 ms) and have short run-out distances of 5 to 35 km across the abyssal seafloor adjacent to the slope (Table 1; Goldfinger et al., 2000; Nelson et al., 2000). These short run-out distances (Figs. 5, 6) contrast with MTD sheets"
flow velocity and energy,preserved blocks size,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention flow velocity and energy or preserved blocks size. It discusses factors affecting the run-out of clay-rich and coherent flows, such as hydroplaning, stretching, and low deposition, which are related to the presence of clay but do not link to the specified concepts.","preserve its original composition, and this ability is determined by the amount of fines in the debris flow slurry. Hydroplaning, stretching and a low degree of deposition are factors that enhance the run-out of clay-rich and coherent flows, and all are linked to the presence of clay. In some cases,"
