item_id,statement,supporting_passage,source_paper,verdict_YPN,comment
S012,fluid overpressure triggers slope failure.,"The fluid pressure required to trigger a slope instability depends on (1) the length of the sliding sheet, (2) the dip of the detachment, (3) the slope of the wedge, and (4) the cohesion of the material used as a décollement layer.",1-s2.0-S0040195109002819-main,,
S013,submarine landslide occurs in deltaic wedge.,The distribution of submarine landslides in the Mediterranean reveals that major deltaic wedges have a higher density of large submarine landslides.,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,,
S014,migration of depocenters causes instabilities.,During relative sea-level rise and high stands the rise of the hydrostatic pressure and the migration of depocenters would generate instabilities.,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,,
S015,mass transport deposit is described in seismic data as transparent.,"some channels having a high amplitude fill of discontinuous reflections and others having a low amplitude, transparent fill.",,,
S016,blocky material overlies basal shear surface.,"High ampli- tude, blocky material near the base of the deposit (de- scribed in the section above) remains semi-continuous above the curved ramp, forming a lobe of blocky material that drapes and follows the topography of the basal shear surface (Fig. 3a and b).",RichardsonetalBasinResearch2011-online (1),,
S017,siliciclastic unit is described in seismic data as transparent.,"Its internal seismic character is dominated by transparent facies, with the presence of local parallel-layered facies interpreted as preserved internal blocks...",Dos-Reis-et-al-2016-MPG,,
S018,mass transport deposit is described in seismic data as faulted.,"In all cases, slide and faulted blocks are replaced 2–5 km downslope by mass-transport deposits exhibiting a set of acoustic features that can be grouped into two main types of seismic facies (considering the seismic resolution of available data), units a and b, which exhibit distinct signs of sediment displacement (Fig. 5a and b).",Two-scale_gravitational_collapse_in_the_Amazon_Fan,,
S019,mass transport deposit is described in seismic data as discontinuous.,"On seismic proflies a mass transport deposit is identified by its characteristic facies: a rugose upper bounding surface located above discontinuous and low amplitude reflections (e.g. Posamentier & Kolla, 2003).",,,
S020,mass transport deposit is described in seismic data as high-amplitude.,"In this study area, a mass transport deposit upper surface is commonly a high amplitude, positive reflection.",RichardsonetalBasinResearch2011-online (1),,
S021,subaqueous slope failure causes mass transport deposit.,"This paper uses the terms ‘mass transport deposit’ for the sediment package emplaced during a slope failure and ‘mass transport complex’ where multiple slope failures have coalesced into a larger unit (e.g. Gamberi etal., 2011).",RichardsonetalBasinResearch2011-online (1),,
S022,mass transport deposit occurs in deep-water basinal settings.,of mass-transport deposits in deepwater basinal settings.,9781565762879_ch02,,
S023,seismic loading triggers slope failure.,It is speculated that earthquake loading is the final trigger for the initiation of the slides at the end of each glaciation.,3-s2.0-B9780128130810007047-main,,
S024,decrease in effective stress causes sediment approaching liquefaction.,"As the storm-wave-induced pore-water pressures build up, the effective stress decreases and the sediment approaches a state of liquefaction.",Submarine_Mass_Movements_on_Continental,,
S025,mass transport deposit is described in seismic data as chaotic.,"Variable amplitude, semi-continuous to chaotic reflections in packages that have an erosional base and irregular top (b & c).",Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution,,
S026,preserved block is described in seismic data as layered.,"An upper unit (150 to 200 m) of parallel discontinuous reflectors still preserves the original layers; however, irregularities of the seafloor suggest a continuous activity of the mass transport processes and associated deformation (Fig. 3).",Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,,
S027,mass transport deposit is described in seismic data as hummocky.,"On seismic data, mass-transport deposits can be recognized by certain geomorphologic as well as stratigraphic distinguishing characteristics: basal linear grooved and scoured surfaces, hummocky relief at the top, and internal chaotic to transparent seismic facies, with internal thrust faulting common.",9781565762879_ch02,,
S028,megaslide is described in seismic data as disrupted.,"AM3, the smallest megaslide in area (Table 1 and Fig. 9B), is dominated by chaotic facies and is substantially thicker close to its upslope limit, where traces of previous stratiﬁcation were preserved (Fig. 10B).""
""Both AM3 and AM4 bulge up above the regional undeformed slope datum at some point of their downslope spread (Fig. 8).""
""AM4, the largest siliciclastic megaslide of the AMC (Table 1), .",Dos-Reis-et-al-2016-MPG,,
S029,erosion of canyon heads causes mass transport deposit.,"Piper et al. (1997) and Maslin and Mikkelsen (1997) consider that during low seal-level stands, gas hydrates destabilization, higher sedimentation rates and erosion of canyon heads are the principal causes of mass movement initiation.",Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,,
S030,slide is described in seismic data as blocky.,"Recognition of mass-transport deposits in outcrop is based on identification of bedding deformed by synsedimentary processes, with deformation ranging from minimal redistribution of large slide blocks to complete disaggregation typical of debris-flow deposits.",9781565762879_ch02,,
S031,slope failure triggers incision of lateral ramps.,"Slope failures with increasing erosive power incised lateral ramps into the basal shear surface which truncated and remobilised older mass transport deposits (Bull et al., 2009).",,,
S032,erosion affects ramps and promontories.,A key observation in this work is that ramps and promontories have their long axes oriented parallel to the direction of transport of the interpreted MTDs (Fig. 5). Complete erosion of the paleoseaﬂoor may cause the section of the ramp that is normal to the mass ﬂow direction to be indiscernible on seismic proﬁles.,1-s2.0-S0025322713000571-main,,
S033,turbidite is described in seismic data as continuous.,"Turbidites in unit Ib are revealed as continuous moderate- to high-amplitude reflections (Figures 10, 11A).",Alves_AAPG_MTDs_14,,
S034,steepening up-dip causes unstable condition.,"The area where no scarp exists was inherently unstable before r 2011The Authors Basin Research r 2011 Blackwell Publishing Ltd, European Association of Geoscientists & Engineers and International Association of Sedimentologists 708 S. E. J. Richardson et al. failure; located along the steepest portion of the slope, subject to higher shear stresses and unsupported by cohesive material upslope (due",RichardsonetalBasinResearch2011-online (1),,
S035,slide is described in seismic data as undeformed.,Note in Part A the imbricate thrusts and the lack of disruption or internal deformation within the mass transported material.,9781565762879_ch02,,
S036,mass transport deposit is part of basal shear surface.,"translated downslope over the basal shear surface, which also acts as a detachment surface.",RichardsonetalBasinResearch2011-online (1),,
